Time,SlantRange,Azimuth,Elevation,RadialVelocity,X,Y,Z,Group_Size,Circle,Track_ID
70614.842,1030.0,-80.55000000000004,7.33,1.2,167.73042708547558,-1007.718974165377,131.4114642518074,0,1,0
70614.893,763.0000000000001,-73.01,3.0999999999999996,-1.2,222.62600486563696,-728.6316615615635,41.26213430738355,0,1,1
70615.041,1604.0,-55.360000000000035,2.26,-1.2,911.0337138201216,-1318.6480562481759,63.252478497085534,0,1,2
70615.041,1644.0000000000002,-56.05999999999999,1.1999999999999997,-2.4,917.684056973951,-1363.6005985041459,34.42933828823884,0,1,3
70615.229,1679.9999999999998,-32.85,2.67,2.4,1409.8250053201132,-910.3124750364724,78.26015695814863,0,1,4
70615.249,1227.0000000000002,-30.31000000000001,2.18,-1.2,1058.5116319818646,-618.7921109806006,46.6738507867319,0,1,0
70615.292,1441.0,-25.94000000000003,1.77,-1.2,1295.2047415713184,-630.0354333899709,44.508764128946744,0,1,5
70615.376,2903.0000000000005,-15.440000000000019,1.3599999999999999,-2.4,2797.4418272792414,-772.6454171758107,68.90052471352587,0,1,6
70615.502,630.9999999999999,-0.22999999999999982,-0.7100000000000001,1.2,630.9464695317818,-2.5327950630695883,-7.8190494658091625,0,1,6
70615.522,2212.0000000000005,1.9299999999999997,3.2499999999999996,1.2,2207.189567717563,74.37699281075356,125.40444609019106,0,1,3
70615.627,4323.0,14.629999999999999,3.09,1.2,4176.7541559158835,1090.2986127088611,233.02930323143548,0,1,1
70615.649,2181.0,17.170000000000005,4.22,1.2,2078.1500216862287,642.1027023148112,160.49176628582518,0,1,2
70615.837,2369.0,39.94,1.11,1.2,1816.0120796436909,1520.577205783642,45.89213265265007,0,1,4
70615.858,1011.0000000000002,42.8,0.5999999999999998,-8.4,741.7602195987806,686.8774946144074,10.586973741524496,0,1,4
70615.983,2141.0,57.78000000000001,2.6,1.2,1140.34532437287,1809.436605047831,97.12215758473235,0,1,3
70616.046,470.0,65.42,2.57,2.4,195.30615063927445,426.9793459516631,21.074763418815408,0,1,3
70620.723,1032.0,-88.57,5.03,2.4,25.655015712444158,-1027.705524325159,90.48301188811061,0,3,10
70623.702,984.0000000000001,-87.74,4.629999999999999,2.4,38.676641343111626,-980.026073601392,79.42929230362925,0,4,14
70624.142,1150.0,-35.00000000000003,2.47,1.2,941.1496379610975,-659.0000710837004,49.560723132063096,0,4,14
70626.659,972.9999999999999,-87.67,4.65,1.2,39.427077636081776,-968.9955976773725,78.87989116973901,0,5,17
70627.246,1760.9999999999998,-20.32999999999997,1.7900000000000003,2.4,1650.4965025161061,-611.5198354696912,55.00714507427764,0,5,13
70627.372,3972.0000000000005,-5.160000000000049,-0.43999999999999995,-2.4,3955.7865425552113,-357.22042079769386,-30.502470460752857,0,5,16
70630.057,1228.0,-40.449999999999996,1.07,2.4,934.3111923055487,-796.5680999584067,22.931595261512697,0,6,17
70630.203,524.0,-22.759999999999973,-0.39000000000000007,1.2,483.18674125174294,-202.71618468876378,-3.5667273167743794,0,6,22
70633.035,1230.0,-39.68999999999999,1.24,2.4,946.2769143656827,-785.3352788771659,26.617683773880216,0,7,13
70633.39,2266.0,2.7599999999999993,4.36,-1.2,2256.821394122115,108.79770688773341,172.26797151149162,0,7,13
70635.614,1322.0000000000002,-88.01999999999998,5.009999999999999,2.4,45.50144163050928,-1316.1629744312331,115.44974467652577,0,8,28
70636.096,4089.0000000000005,-29.800000000000043,3.3999999999999995,8.4,3542.0473326763254,-2028.549634274106,242.50376155210708,0,8,26
70636.169,2604.0,-22.18000000000001,8.37,9.6,2385.6266783685087,-972.5849273376209,379.051329732676,0,8,27
70641.717,1023.0000000000001,-67.81000000000002,3.5499999999999994,2.4,385.62442689060475,-945.4154519030108,63.343702830815694,0,10,36
70641.822,1122.0,-57.48,1.32,1.2,603.0203731081996,-945.8236493988951,25.84673778649419,0,10,37
70642.325,2279.0,3.7000000000000006,4.81,-1.2,2266.2403313785344,146.5511882588023,191.098167582123,0,10,38
70642.408,4351.0,13.11,2.93,-2.4,4232.057567464887,985.6093097635431,222.4051127348794,0,10,36
70645.24,109.0,-3.699999999999987,-1.2799999999999998,1.2,108.74566007369457,-7.032266384604257,-2.4348808250995337,0,11,41
70647.484,974.0000000000001,-92.24000000000002,4.02,-2.4,-37.97553202722945,-970.8611808420783,68.2819632199775,0,12,45
70650.482,1315.0,-89.95000000000002,5.430000000000001,-1.2,1.1424042506669492,-1309.098508908845,124.43789167760296,0,13,49
