circle,center_position
98,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
99,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
100,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
101,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
102,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
103,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
104,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
105,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
106,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
107,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
108,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
109,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
110,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
111,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
112,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
113,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
114,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
115,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
116,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
117,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
118,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
119,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
120,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
121,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
122,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
123,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
124,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
125,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
126,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
127,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
128,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
129,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
130,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
131,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
132,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
133,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
134,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
135,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
136,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
137,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
138,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
139,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
140,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
141,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
142,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
143,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
144,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
145,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
146,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
147,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
148,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
149,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
150,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
151,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
152,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
153,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
154,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
155,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
156,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
157,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
158,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
159,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
160,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
161,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
162,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
163,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
164,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
165,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
166,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
167,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
168,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
169,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
170,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
171,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
172,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
173,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
174,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
175,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
176,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
177,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
178,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
179,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
180,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
181,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
182,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
183,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
184,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
185,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
186,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
187,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
188,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
189,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
190,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
191,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
192,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
193,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
194,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
195,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
196,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
197,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
198,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
199,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
200,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
201,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
202,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
203,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
204,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
205,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
206,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
207,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
208,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
209,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
210,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
211,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
212,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
213,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
214,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
215,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
216,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
217,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
218,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
219,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
220,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
221,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
222,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
223,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
224,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
225,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
226,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
227,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
228,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
229,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
230,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
231,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
232,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
233,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
234,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
235,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
236,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
237,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
238,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
239,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
240,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
241,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
242,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
243,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
244,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
245,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
246,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
247,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
248,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
249,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
250,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
251,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
252,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
253,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
254,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
255,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
256,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
257,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
258,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
259,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
260,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
261,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
262,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
263,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
264,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
265,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
266,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
267,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
268,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
269,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
270,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
271,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
272,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
273,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
274,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
275,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
276,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
277,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
278,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
279,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
280,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
281,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
282,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
283,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
284,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
