circle,center_position
2,"[533.2908672517782, 162.64388739997597, 130.33203306002144]"
3,"[542.2187645938998, 137.82119675193567, 126.76269268142927]"
4,"[542.2187645938998, 137.82119675193567, 126.76269268142927]"
5,"[537.8909073009605, 137.62182324866444, 124.43784219873118]"
6,"[540.6030188438222, 138.35696212817393, 125.73754507334114]"
7,"[532.8276311893254, 131.75381053549145, 130.11315681381123]"
8,"[529.8475105962119, 160.9743534513184, 132.46565652903328]"
9,"[531.9878322004432, 152.57381454435017, 132.56300266039312]"
10,"[531.9878322004432, 152.57381454435017, 132.56300266039312]"
11,"[531.5211046912262, 152.44701736117463, 133.0059107876866]"
12,"[532.4197603145035, 153.91470784753437, 131.56818571862564]"
13,"[532.4823702038852, 152.26939677419432, 132.1689757390451]"
14,"[537.8551968370138, 153.48318193091617, 131.46673571510982]"
15,"[537.8551968370138, 153.48318193091617, 131.46673571510982]"
16,"[536.2567791181526, 177.05546017360962, 129.04144233314]"
17,"[536.2567791181526, 177.05546017360962, 129.04144233314]"
18,"[538.5555884938814, 165.88829982706315, 129.53804914101423]"
19,"[544.2420716201013, 167.23157664759606, 127.97401710588501]"
20,"[544.2420716201013, 167.23157664759606, 127.97401710588501]"
21,"[544.2420716201013, 167.23157664759606, 127.97401710588501]"
22,"[537.0883776368142, 162.23504729924514, 130.98006098216504]"
23,"[533.8051212864299, 160.54760675173804, 132.4443970453589]"
24,"[538.1937672195882, 161.21015828191028, 132.67205473440342]"
25,"[535.8029873844959, 169.46221212126727, 132.61493781415493]"
26,"[537.6547340900912, 174.69599577954057, 131.12583093242492]"
27,"[540.6250560227317, 161.16786712972046, 131.28973241943535]"
28,"[535.6107061339452, 160.47560889338794, 132.62580218180284]"
29,"[538.8847915370578, 163.64143629333705, 131.20053601281876]"
30,"[553.5985025399517, 155.26947235211844, 126.90007324663497]"
31,"[558.7311594634273, 156.39450064156242, 125.70228238876719]"
32,"[555.7055602930602, 171.38116236346653, 126.75835799683303]"
33,"[555.7055602930602, 171.38116236346653, 126.75835799683303]"
34,"[548.2099123940351, 169.3182250273101, 128.97233666262028]"
35,"[546.6794792359016, 168.98979844434913, 129.09799025868736]"
36,"[548.4676014841589, 157.7730241468638, 129.19497427584375]"
37,"[544.2308850823857, 171.20101503896532, 130.69894071010182]"
38,"[548.6572509741175, 172.34308140231317, 129.24431811756492]"
39,"[545.0481990109979, 170.24902144353544, 130.4651767204546]"
40,"[543.6261939372434, 160.01983326360008, 131.275470036484]"
41,"[543.6261939372434, 160.01983326360008, 131.275470036484]"
42,"[538.8567280247032, 159.39658644426257, 132.98155938642955]"
43,"[538.8567280247032, 159.39658644426257, 132.98155938642955]"
44,"[538.8567280247032, 159.39658644426257, 132.98155938642955]"
45,"[544.6960167104213, 163.41584357089528, 129.18029151325268]"
46,"[547.965006884369, 164.4176420124676, 127.74261805648075]"
47,"[544.437821154002, 174.22336295656996, 127.18953512830939]"
48,"[541.1276572741295, 169.97988821253838, 129.30637382210918]"
49,"[540.2160916879398, 171.92472172347001, 128.9430029639866]"
50,"[541.5557088453181, 165.89071914716155, 129.28690190148936]"
51,"[541.5990984499023, 166.03136152079287, 129.29354125385575]"
