circle,center_position
2,"[1205.3723173611372, -27.307804979372357, 216.84285987312148]"
3,"[1205.3723173611372, -27.307804979372357, 216.84285987312148]"
4,"[1207.2461184328745, -22.372909034423763, 220.1356016815905]"
5,"[1207.2461184328745, -22.372909034423763, 220.1356016815905]"
6,"[1207.2461184328745, -22.372909034423763, 220.1356016815905]"
7,"[1207.2461184328745, -22.372909034423763, 220.1356016815905]"
8,"[1207.2461184328745, -22.372909034423763, 220.1356016815905]"
9,"[1207.2461184328745, -22.372909034423763, 220.1356016815905]"
10,"[1207.2461184328745, -22.372909034423763, 220.1356016815905]"
11,"[1204.3042631404314, -27.775528345426046, 220.15696283974893]"
12,"[1204.3042631404314, -27.775528345426046, 220.15696283974893]"
13,"[1204.3042631404314, -27.775528345426046, 220.15696283974893]"
14,"[1204.3042631404314, -27.775528345426046, 220.15696283974893]"
15,"[1204.3778646271398, -18.201038609453924, 220.23324208225966]"
16,"[1204.3778646271398, -18.201038609453924, 220.23324208225966]"
17,"[1204.3778646271398, -18.201038609453924, 220.23324208225966]"
18,"[1204.3778646271398, -18.201038609453924, 220.23324208225966]"
19,"[1201.0357086137515, -24.369422151178618, 218.2341165402263]"
20,"[1201.0357086137515, -24.369422151178618, 218.2341165402263]"
21,"[1201.0357086137515, -24.369422151178618, 218.2341165402263]"
22,"[1198.9407002828736, -27.900843990601295, 217.05446980031343]"
23,"[1198.5536795052994, -36.87550893224736, 223.40336869016062]"
24,"[1199.2323917295023, -35.425553909337765, 227.69214932382513]"
25,"[1199.2323917295023, -35.425553909337765, 227.69214932382513]"
26,"[1202.8044976961214, -30.118743704249624, 225.37594237458399]"
27,"[1202.8044976961214, -30.118743704249624, 225.37594237458399]"
28,"[1201.892506886983, -33.119808356941036, 223.9731020996108]"
29,"[1201.892506886983, -33.119808356941036, 223.9731020996108]"
30,"[1201.892506886983, -33.119808356941036, 223.9731020996108]"
31,"[1201.892506886983, -33.119808356941036, 223.9731020996108]"
32,"[1197.2789431526826, -44.31033304289289, 223.9991712490821]"
33,"[1191.74639879282, -51.53520519905473, 222.68065315993462]"
34,"[1190.0968374474255, -54.2198666241201, 222.69631501058436]"
35,"[1184.7674250297696, -61.61758660543051, 220.69520370547065]"
36,"[1181.5153016570553, -58.244948255421484, 212.57812676740693]"
37,"[1181.5153016570553, -58.244948255421484, 212.57812676740693]"
38,"[1181.5153016570553, -58.244948255421484, 212.57812676740693]"
39,"[1181.5153016570553, -58.244948255421484, 212.57812676740693]"
40,"[1181.5153016570553, -58.244948255421484, 212.57812676740693]"
41,"[1181.5153016570553, -58.244948255421484, 212.57812676740693]"
42,"[1174.813385192456, -50.22600078419311, 214.1667454503121]"
43,"[1174.813385192456, -50.22600078419311, 214.1667454503121]"
44,"[1173.5006140716619, -53.73029882462769, 210.28151502644874]"
45,"[1173.5006140716619, -53.73029882462769, 210.28151502644874]"
46,"[1177.0824225153242, -50.310324062344314, 208.00346764500466]"
47,"[1177.0824225153242, -50.310324062344314, 208.00346764500466]"
48,"[1177.0824225153242, -50.310324062344314, 208.00346764500466]"
49,"[1177.0824225153242, -50.310324062344314, 208.00346764500466]"
50,"[1175.5638128419987, -63.43929437170895, 208.78505264008945]"
51,"[1175.5638128419987, -63.43929437170895, 208.78505264008945]"
52,"[1175.5638128419987, -63.43929437170895, 208.78505264008945]"
53,"[1161.1288866407713, -61.71713230377711, 205.58392503970376]"
54,"[1159.7655902800707, -63.310841342972985, 204.44293441947968]"
55,"[1159.7655902800707, -63.310841342972985, 204.44293441947968]"
56,"[1161.5173183042864, -60.54198812158523, 204.44515926873058]"
57,"[1158.7279181875729, -63.33472829541329, 204.6997622362872]"
58,"[1158.7279181875729, -63.33472829541329, 204.6997622362872]"
59,"[1158.7279181875729, -63.33472829541329, 204.6997622362872]"
