circle,center_position
60,"[1158.447537482898, -67.59085702907862, 205.36729782831966]"
61,"[1158.447537482898, -67.59085702907862, 205.36729782831966]"
62,"[1156.363329366484, -71.73915092911602, 204.47871369120026]"
63,"[1156.363329366484, -71.73915092911602, 204.47871369120026]"
64,"[1156.363329366484, -71.73915092911602, 204.47871369120026]"
65,"[1155.9154151716791, -70.91241660860157, 205.41627070389893]"
66,"[1149.1180920530862, -78.76160216383698, 205.4396117734843]"
67,"[1149.1180920530862, -78.76160216383698, 205.4396117734843]"
68,"[1146.316128311763, -83.1872288494391, 203.96170668344652]"
69,"[1144.526703786445, -85.57612493739589, 204.23091786723944]"
70,"[1144.526703786445, -85.57612493739589, 204.23091786723944]"
71,"[1144.526703786445, -85.57612493739589, 204.23091786723944]"
72,"[1144.526703786445, -85.57612493739589, 204.23091786723944]"
73,"[1144.526703786445, -85.57612493739589, 204.23091786723944]"
74,"[1142.590340169089, -86.8180489949595, 205.0951244271375]"
75,"[1140.8995434038393, -86.1693430047309, 209.34520275569866]"
76,"[1140.8995434038393, -86.1693430047309, 209.34520275569866]"
77,"[1140.8995434038393, -86.1693430047309, 209.34520275569866]"
78,"[1140.8995434038393, -86.1693430047309, 209.34520275569866]"
79,"[1140.8995434038393, -86.1693430047309, 209.34520275569866]"
80,"[1140.8995434038393, -86.1693430047309, 209.34520275569866]"
81,"[1148.4110205345048, -102.14352749170145, 207.87619145197257]"
82,"[1148.4110205345048, -102.14352749170145, 207.87619145197257]"
83,"[1148.4110205345048, -102.14352749170145, 207.87619145197257]"
84,"[1140.758534578607, -112.13556261635166, 205.99805377112392]"
85,"[1139.10878048818, -109.15050796547, 205.3512157074174]"
86,"[1139.10878048818, -109.15050796547, 205.3512157074174]"
87,"[1139.10878048818, -109.15050796547, 205.3512157074174]"
88,"[1142.6683007625095, -105.9898043327142, 203.85054873825942]"
89,"[1142.6683007625095, -105.9898043327142, 203.85054873825942]"
90,"[1143.7383076556087, -105.74573946425343, 203.56920852984618]"
91,"[1143.7383076556087, -105.74573946425343, 203.56920852984618]"
92,"[1143.7383076556087, -105.74573946425343, 203.56920852984618]"
93,"[1143.7383076556087, -105.74573946425343, 203.56920852984618]"
94,"[1143.7383076556087, -105.74573946425343, 203.56920852984618]"
95,"[1141.7931193587822, -106.26937983407583, 206.1915094547629]"
96,"[1141.7931193587822, -106.26937983407583, 206.1915094547629]"
97,"[1140.8935501909202, -101.70072081725598, 205.50354257786597]"
98,"[1140.8935501909202, -101.70072081725598, 205.50354257786597]"
99,"[1140.8935501909202, -101.70072081725598, 205.50354257786597]"
100,"[1140.8935501909202, -101.70072081725598, 205.50354257786597]"
101,"[1144.612440049018, -110.94890061264492, 204.18839757354732]"
102,"[1144.612440049018, -110.94890061264492, 204.18839757354732]"
103,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
104,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
105,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
106,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
107,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
108,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
109,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
110,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
111,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
112,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
113,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
114,"[1155.8967701410177, -97.69800915497437, 207.4073010070394]"
115,"[1152.942295105457, -91.79625843977084, 209.68416402795958]"
116,"[1152.942295105457, -91.79625843977084, 209.68416402795958]"
117,"[1159.192759001317, -92.48716587785911, 199.64936723249434]"
118,"[1159.192759001317, -92.48716587785911, 199.64936723249434]"
119,"[1159.192759001317, -92.48716587785911, 199.64936723249434]"
120,"[1159.192759001317, -92.48716587785911, 199.64936723249434]"
121,"[1159.192759001317, -92.48716587785911, 199.64936723249434]"
122,"[1162.2947399426184, -88.70067974730094, 200.5029080411331]"
123,"[1162.2947399426184, -88.70067974730094, 200.5029080411331]"
124,"[1162.2947399426184, -88.70067974730094, 200.5029080411331]"
125,"[1169.9187132883749, -76.29559757212036, 206.11577154791917]"
126,"[1169.9187132883749, -76.29559757212036, 206.11577154791917]"
127,"[1169.9187132883749, -76.29559757212036, 206.11577154791917]"
128,"[1169.9187132883749, -76.29559757212036, 206.11577154791917]"
129,"[1169.9187132883749, -76.29559757212036, 206.11577154791917]"
130,"[1169.9187132883749, -76.29559757212036, 206.11577154791917]"
131,"[1170.1263900309668, -75.68192942414522, 203.95247861234972]"
132,"[1170.1263900309668, -75.68192942414522, 203.95247861234972]"
133,"[1170.1263900309668, -75.68192942414522, 203.95247861234972]"
134,"[1168.9247399515968, -76.92103944027026, 203.34820222548763]"
135,"[1168.9247399515968, -76.92103944027026, 203.34820222548763]"
136,"[1168.9247399515968, -76.92103944027026, 203.34820222548763]"
137,"[1168.9247399515968, -76.92103944027026, 203.34820222548763]"
138,"[1168.9247399515968, -76.92103944027026, 203.34820222548763]"
139,"[1166.7710417082922, -74.66628255795861, 207.07983051531187]"
140,"[1166.7710417082922, -74.66628255795861, 207.07983051531187]"
141,"[1165.851049578936, -73.7601252784474, 211.1182153613137]"
142,"[1165.851049578936, -73.7601252784474, 211.1182153613137]"
143,"[1165.851049578936, -73.7601252784474, 211.1182153613137]"
144,"[1165.851049578936, -73.7601252784474, 211.1182153613137]"
145,"[1165.851049578936, -73.7601252784474, 211.1182153613137]"
146,"[1165.851049578936, -73.7601252784474, 211.1182153613137]"
147,"[1165.851049578936, -73.7601252784474, 211.1182153613137]"
148,"[1165.5346970163484, -71.46389119049263, 210.55601940948475]"
149,"[1165.5346970163484, -71.46389119049263, 210.55601940948475]"
150,"[1168.181295719211, -66.15913042910321, 208.20366285532413]"
151,"[1168.181295719211, -66.15913042910321, 208.20366285532413]"
152,"[1168.181295719211, -66.15913042910321, 208.20366285532413]"
153,"[1168.181295719211, -66.15913042910321, 208.20366285532413]"
154,"[1168.181295719211, -66.15913042910321, 208.20366285532413]"
155,"[1168.181295719211, -66.15913042910321, 208.20366285532413]"
156,"[1168.181295719211, -66.15913042910321, 208.20366285532413]"
