circle,center_position
2,"[533.2908672517782, 162.64388739997597, 130.33203306002147]"
3,"[542.2187645938998, 137.82119675193567, 126.7626926814293]"
4,"[542.2187645938998, 137.82119675193567, 126.7626926814293]"
5,"[537.8909073009607, 137.62182324866444, 124.43784219873119]"
6,"[540.6030188438222, 138.35696212817393, 125.73754507334115]"
7,"[532.8276311893254, 131.75381053549145, 130.11315681381126]"
8,"[529.8475105962119, 160.9743534513184, 132.46565652903328]"
9,"[531.9878322004432, 152.57381454435017, 132.56300266039312]"
10,"[531.9878322004432, 152.57381454435017, 132.56300266039312]"
11,"[531.5211046912262, 152.44701736117463, 133.0059107876866]"
12,"[532.4197603145034, 153.91470784753437, 131.56818571862564]"
13,"[532.4823702038851, 152.26939677419432, 132.1689757390451]"
14,"[537.8551968370135, 153.48318193091617, 131.46673571510982]"
15,"[537.8551968370135, 153.48318193091617, 131.46673571510982]"
16,"[536.2567791181524, 177.05546017360962, 129.04144233314003]"
17,"[536.2567791181524, 177.05546017360962, 129.04144233314003]"
18,"[538.5555884938813, 165.88829982706315, 129.53804914101423]"
19,"[544.2420716201012, 167.23157664759606, 127.97401710588503]"
20,"[544.2420716201012, 167.23157664759606, 127.97401710588503]"
21,"[544.2420716201012, 167.23157664759606, 127.97401710588503]"
22,"[537.0883776368142, 162.23504729924514, 130.98006098216507]"
23,"[533.8051212864299, 160.54760675173804, 132.44439704535893]"
24,"[538.1937672195882, 161.21015828191022, 132.67205473440345]"
25,"[535.8029873844959, 169.46221212126719, 132.61493781415496]"
26,"[537.6547340900912, 174.69599577954048, 131.12583093242495]"
27,"[540.6250560227317, 161.16786712972046, 131.28973241943535]"
28,"[535.6107061339452, 160.47560889338794, 132.62580218180284]"
29,"[538.8847915370578, 163.64143629333705, 131.20053601281876]"
30,"[553.5985025399517, 155.26947235211836, 126.90007324663499]"
31,"[558.7311594634273, 156.39450064156242, 125.70228238876719]"
32,"[555.7055602930602, 171.38116236346653, 126.75835799683303]"
33,"[555.7055602930602, 171.38116236346653, 126.75835799683303]"
34,"[548.209912394035, 169.3182250273101, 128.97233666262028]"
35,"[546.6794792359016, 168.98979844434913, 129.09799025868736]"
36,"[548.467601484159, 157.7730241468638, 129.19497427584378]"
37,"[544.2308850823857, 171.20101503896532, 130.69894071010182]"
38,"[548.6572509741175, 172.34308140231317, 129.24431811756492]"
39,"[545.0481990109978, 170.24902144353544, 130.4651767204546]"
40,"[543.6261939372433, 160.01983326360008, 131.275470036484]"
41,"[543.6261939372433, 160.01983326360008, 131.275470036484]"
42,"[538.8567280247032, 159.3965864442625, 132.98155938642958]"
43,"[538.8567280247032, 159.3965864442625, 132.98155938642958]"
44,"[538.8567280247032, 159.3965864442625, 132.98155938642958]"
45,"[544.6960167104212, 163.4158435708952, 129.18029151325268]"
46,"[547.9650068843689, 164.4176420124676, 127.74261805648075]"
47,"[544.4378211540019, 174.22336295656987, 127.18953512830939]"
48,"[541.1276572741295, 169.97988821253838, 129.30637382210918]"
49,"[540.2160916879398, 171.92472172346993, 128.9430029639866]"
50,"[541.555708845318, 165.89071914716155, 129.2869019014894]"
51,"[541.5990984499022, 166.03136152079287, 129.29354125385575]"
52,"[545.7939951195972, 173.14285314010155, 127.05741756616551]"
53,"[539.3177784595177, 171.57927948324274, 127.70279214753434]"
54,"[542.6532857990486, 163.73133723190838, 127.44398054581279]"
55,"[542.4821548676232, 163.96077499432064, 128.09394539894694]"
56,"[542.8408495452832, 165.3016767249279, 128.14073405168938]"
57,"[544.0587934666887, 151.04637626989734, 128.75127769751626]"
58,"[537.7147896934798, 146.87015992836396, 130.46839453446037]"
59,"[530.7388962477063, 156.21034936957776, 130.28186134317957]"
60,"[529.1122423918763, 156.15384063998854, 130.9805806705247]"
61,"[527.112486583223, 156.61347429657076, 133.55107641482346]"
62,"[531.930680492756, 157.1091491545935, 132.1852090865752]"
63,"[537.354370344599, 157.89902666052828, 130.70803243894974]"
64,"[542.9573877906527, 159.51005237924312, 128.81273185358893]"
65,"[543.3218318975904, 160.08725618548462, 128.8720009454574]"
66,"[540.8273828118562, 173.61404456531125, 129.40387889829265]"
67,"[541.6109322351249, 170.43720846867998, 130.60522675707207]"
68,"[541.6867867558818, 170.32863439626405, 130.62370296712876]"
69,"[539.735092440851, 169.94615785064505, 131.60672480527026]"
70,"[544.2156087478264, 159.0215103115728, 130.10047716915972]"
71,"[544.7051165643993, 158.41340438484943, 129.0177973144477]"
72,"[544.7051165643993, 158.41340438484943, 129.0177973144477]"
73,"[544.8265621963959, 156.10801187821718, 129.49867625846946]"
