时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
35012.358,1303,269.82,5.37,-1.2,1
35012.369,101,270.48,13.27,3.5,1
35012.399,1011,274.17,4.81,2.4,1
35012.463,751,281.74,3.36,-2.4,1
35012.484,781,287.95,3.69,1.2,1
35012.484,1033,286.71,5.55,-2.4,1
35012.505,202,287.54,6.36,7.2,1
35012.505,113,286.83,6.63,2.4,1
35012.547,992,292.57,2.19,1.2,1
35012.568,962,294.82,1.95,2.4,1
35012.58,113,295.79,24.48,1.7,1
35012.61,1572,300.16,2.85,-1.2,1
35012.61,1610,299.44,3.32,-2.4,1
35012.61,1615,300.16,3.25,1.2,1
35012.631,1543,302.6,2.1,-1.2,1
35012.631,1119,302.01,1.68,1.2,1
35012.674,1611,307,1.43,2.4,1
35012.694,1690,309.82,-0.16,-1.2,1
35012.694,1240,311.84,1.01,-1.2,1
35012.694,1410,309.49,4.18,3.6,1
35012.694,1038,309.83,5.06,2.4,1
35012.714,986,314.85,0.71,-1.2,1
35012.736,1761,315.1,3.17,1.2,1
35012.736,1205,316.08,1.01,2.4,1
35012.756,2873,317.22,5.51,7.2,1
35012.777,2997,319.72,5.12,6,1
35012.799,1134,322.62,1.77,-1.2,1
35012.799,2023,322.31,5.03,4.8,1
35012.862,2303,329.86,3.16,6,1
35012.872,614,330.88,14.89,1.7,1
35012.882,1134,332.71,1.74,-1.2,1
35012.903,2261,334.87,4.21,7.2,1
35012.903,3993,335.28,3.47,4.8,1
35012.925,1784,337.12,2.12,1.2,1
35012.935,1661,338.74,14.33,10.6,1
35012.945,1852,340.38,2.15,-2.4,1
35012.945,132,341.21,5.41,3.6,1
35012.945,2835,340.05,4.77,8.4,1
35012.945,2156,339.97,4.87,8.4,1
35012.956,1884,339.69,7.41,7.2,1
35012.966,1362,342.49,5.47,6,1
35012.977,1212,344.06,10.48,7,1
35012.988,112,344.71,-0.39,3.6,1
35012.988,2310,345.1,1.19,-1.2,1
35013.008,3802,347.96,1.17,-1.2,1
35013.008,2304,347.95,1.46,1.2,1
35013.008,2252,347.62,3.53,9.6,1
35013.008,1523,347.98,5.01,3.6,1
35013.02,568,349.11,11.49,5.3,1
35013.029,2890,349.77,0.31,-1.2,1
35013.029,1853,350.47,-0.87,-2.4,1
35013.029,2260,349.78,1.89,7.2,1
35013.029,2011,350.06,4.73,7.2,1
35013.029,1462,350.5,4.37,6,1
35013.029,1304,350.15,4.35,3.6,1
35013.039,2481,350.51,8.19,9.6,1
35013.05,153,352.29,-0.89,1.2,1
35013.071,4412,354.81,-0.41,1.2,1
35013.071,2620,355.14,6.3,9.6,1
35013.082,1842,356.4,10.97,7,1
35013.091,3290,358.02,0.6,6,1
35013.091,320,357.35,6.46,3.6,1
35013.103,353,358.71,20.71,5.3,1
35013.103,1693,357.72,8.56,8.4,1
35013.134,324,2.62,-1.15,-2.4,1
35013.134,1951,3.11,5.53,7.2,1
35013.134,889,2.39,7.31,2.4,1
35013.145,3090,2.4,7.03,8.4,1
35013.166,2050,6.29,11.67,10.6,1
35013.175,3681,7.88,5.09,8.4,1
35013.197,362,10.69,-1.07,-1.2,1
35013.229,873,12.54,7.29,4.8,1
35013.26,3979,17.61,4.59,2.4,1
35013.26,4376,17.61,5.21,4.8,1
35013.27,1389,18.98,15.79,7,1
35013.27,1171,17.62,8.34,2.4,1
35013.28,2360,20.5,7.43,8.4,1
35013.302,2575,23.39,5.65,7.2,1
35013.302,2841,22.68,4.81,3.6,1
35013.313,1971,25.44,7.65,6,1
35013.313,150,23.09,8.73,1.2,1
35013.313,263,24.07,28.24,1.7,1
35013.323,555,25.54,1.63,-1.2,1
35013.344,249,27.71,0.31,-2.4,1
35013.344,3315,28.14,3.92,1.2,1
35013.376,1459,31.63,10.18,3.5,1
35013.406,2031,36.03,4.95,6,1
35013.417,2175,36.99,12.16,8.8,1
35013.438,1134,39.22,18.1,5.3,1
35013.459,1524,40.4,9.7,4.8,1
35013.48,1801,44.6,15.6,5.3,1
35013.49,2156,45.47,0.76,-1.2,1
35013.49,1771,45.73,5.4,2.4,1
35013.511,2383,48.75,1.34,-1.2,1
35013.523,112,48.27,10.45,-2.4,1
35013.532,2540,50.58,2.78,-1.2,1
35013.553,2495,53.13,2.69,1.2,1
35013.565,112,54.8,23.71,-3.5,1
35013.574,194,57.63,-0.02,-1.2,1
35013.574,533,55.69,2.07,-2.4,1
35013.574,1052,56.41,2.26,2.4,1
35013.585,122,57.09,28.14,-3.5,1
35013.595,485,58.64,1.42,-1.2,1
35013.595,2132,58.25,2.86,-1.2,1
35013.616,505,60.79,1.68,2.4,1
35013.648,1051,64.75,17.54,1.7,1
35015.336,1020,269.23,4.84,-1.2,2
35015.347,1212,270.86,10.47,3.5,2
35015.357,992,271.75,4.23,2.4,2
35015.368,1232,272.48,8.38,2.4,2
35015.409,103,278.17,12.81,3.5,2
35015.42,399,279.31,0.04,-1.2,2
35015.42,773,279.77,3.81,-1.2,2
35015.431,1049,279.34,7.55,-1.2,2
35015.462,1050,285.1,6.37,1.2,2
35015.462,794,285.1,4.91,2.4,2
35015.483,1029,287.14,5.04,-2.4,2
35015.514,382,291.09,21.06,3.5,2
35015.524,1022,291.97,3.56,1.2,2
35015.536,210,293.59,11.12,1.7,2
35015.546,223,294.51,5.8,7.2,2
35015.609,1535,302.79,2.09,-1.2,2
35015.609,1559,302.1,2.88,-1.2,2
35015.619,145,303.46,11.2,3.5,2
35015.619,103,303.48,25.36,1.7,2
35015.629,1150,305.07,0.54,1.2,2
35015.662,963,307.51,8.46,3.6,2
35015.672,987,310.2,0,1.2,2
35015.692,964,312.73,-0.39,1.2,2
35015.692,2194,312.01,1.9,3.6,2
35015.714,965,314.86,0.02,-2.4,2
35015.714,1234,314.54,1.5,-2.4,2
35015.798,1880,324.91,4.98,3.6,2
35015.819,884,329.92,0.45,1.2,2
35015.819,2041,327.1,3.38,1.2,2
35015.829,624,328.92,14.92,3.5,2
35015.86,1242,332.56,2.46,2.4,2
35015.86,2299,332.15,5,3.6,2
35015.882,1771,335.37,2.57,-1.2,2
35015.882,142,335.06,4.96,3.6,2
35015.882,1519,335,6.29,6,2
35015.893,1814,335.07,7.84,4.8,2
35015.903,190,337.93,-0.81,-1.2,2
35015.924,2859,339.79,4.7,8.4,2
35015.944,2304,343.02,2.95,-1.2,2
35015.944,1379,342.62,5.3,6,2
35015.966,2923,345.57,1.6,-1.2,2
35015.966,1930,344.86,1.34,-1.2,2
35015.966,1422,345.31,4.77,6,2
35015.987,2929,347.76,1.07,1.2,2
35015.987,3834,348.11,0.77,-1.2,2
35015.997,922,349.02,12.06,7,2
35016.008,3410,350.63,-0.57,-1.2,2
35016.008,3434,350.65,2.25,7.2,2
35016.008,955,349.93,3.27,2.4,2
35016.008,1043,349.93,2.28,4.8,2
35016.008,1321,350.66,4.59,4.8,2
35016.018,2509,350.37,8.26,9.6,2
35016.028,3402,352.45,0.02,1.2,2
35016.039,1274,352.76,7.72,6,2
35016.049,2018,355.32,-0.6,4.8,2
35016.049,2645,355.23,6.26,9.6,2
35016.061,1865,356.36,10.46,8.8,2
35016.061,390,356.37,18.21,5.3,2
35016.061,2101,355.02,7.17,8.4,2
35016.07,3666,358.25,2.64,8.4,2
35016.081,1716,357.55,8.1,8.4,2
35016.091,631,0.75,-0.75,1.2,2
35016.112,2264,3.3,3.93,1.2,2
35016.123,1990,4.21,11.86,8.8,2
35016.132,1692,5.53,0.22,7.2,2
35016.143,2610,5.13,8.41,8.4,2
35016.154,1654,7.96,4.66,6,2
35016.175,1099,10.89,5.4,2.4,2
35016.186,1865,12.02,13.03,8.8,2
35016.196,4301,13.01,2.85,-1.2,2
35016.217,3004,15.24,5.01,8.4,2
35016.238,1433,17.74,1.51,3.6,2
35016.238,1536,17.77,6.21,6,2
35016.249,270,19.63,29.08,1.7,2
35016.259,2780,20.69,4.87,7.2,2
35016.27,3147,21.02,7.04,8.4,2
35016.28,2595,22.83,6.14,6,2
35016.301,1976,25.74,6.29,4.8,2
35016.301,1380,25.35,6.17,3.6,2
35016.321,3005,27.86,2.83,-1.2,2
35016.321,2128,27.88,6.5,4.8,2
35016.321,2510,28.2,5.73,6,2
35016.395,173,37.1,16.2,7,2
35016.406,593,38.71,1.7,-2.4,2
35016.406,2923,38.74,3.88,-1.2,2
35016.417,119,39.66,29.72,-1.7,2
35016.427,2593,40.88,2.7,-1.2,2
35016.468,93,46.08,0.33,1.2,2
35016.468,2116,45.92,1.33,-2.4,2
35016.468,2113,45.65,1.06,1.2,2
35016.468,1051,45.65,0.98,-1.2,2
35016.574,194,58.76,-0.25,2.4,2
35016.584,1502,58.79,9.88,4.8,2
35016.606,1055,62.67,17.54,1.7,2
35018.334,1313,271.95,5.41,1.2,3
35018.367,112,275.84,12.52,3.5,3
35018.44,813,284.57,5.05,-2.4,3
35018.461,1023,287.45,4.46,-1.2,3
35018.461,800,287.98,4.32,1.2,3
35018.471,612,288.45,12.28,1.7,3
35018.493,219,291.45,11.72,1.7,3
35018.566,251,299.71,5.6,9.6,3
35018.576,110,300.08,6.9,3.6,3
35018.587,1503,302.64,2.11,-3.6,3
35018.587,1590,302.62,3.18,-1.2,3
35018.608,1581,305.11,2.6,1.2,3
35018.661,1805,311.27,11.98,7,3
35018.67,972,312.87,0.57,-1.2,3
35018.681,1070,314.03,16.74,5.3,3
35018.692,1230,317.04,1.67,1.2,3
35018.692,2253,315.42,6.6,4.8,3
35018.713,203,317.25,8.11,3.6,3
35018.733,1763,320.09,2.56,2.4,3
35018.733,3022,320.44,5,6,3
35018.756,1439,322.21,1.45,-1.2,3
35018.756,1813,322.65,4.14,2.4,3
35018.776,1150,325.46,1.85,1.2,3
35018.796,875,327.64,0.17,1.2,3
35018.796,2383,327.58,3.41,6,3
35018.796,3255,327.96,2.54,6,3
35018.796,1952,327.28,3.14,4.8,3
35018.796,2025,327.29,4.91,8.4,3
35018.807,634,328.86,14.33,3.5,3
35018.817,1200,329.77,1.05,1.2,3
35018.817,153,330.49,4.55,3.6,3
35018.817,2373,330.12,4.92,6,3
35018.838,914,332.62,0.14,1.2,3
35018.849,124,333.71,18.77,8.8,3
35018.849,1350,334.31,8.56,6,3
35018.859,1224,334.86,4.81,6,3
35018.881,3523,337.6,2.42,6,3
35018.881,2505,337.78,4.69,4.8,3
35018.901,1472,340.64,0.91,1.2,3
35018.901,290,340.32,-0.26,-1.2,3
35018.901,2883,339.95,4.66,7.2,3
35018.912,120,339.96,6.72,-1.2,3
35018.922,3701,342.78,2.83,7.2,3
35018.922,108,342.8,1.8,2.4,3
35018.944,2916,347.12,1.09,-1.2,3
35018.944,1904,345.01,1.01,-1.2,3
35018.944,2265,345.01,4.33,6,3
35018.944,2427,345.36,4.93,7.2,3
35018.954,171,346.41,28.7,5.3,3
35018.954,2069,345.75,8.75,8.4,3
35018.965,1539,347.88,-0.49,2.4,3
35018.985,1855,350.79,-1.08,-1.2,3
35018.985,2893,350.07,0.38,1.2,3
35018.985,3809,350.8,0.67,2.4,3
35018.985,533,350.43,1.98,3.6,3
35019.006,1852,353.32,-0.72,2.4,3
35019.006,159,352.6,-0.88,2.4,3
35019.006,1454,352.63,5,4.8,3
35019.027,1205,355.14,0.13,3.6,3
35019.038,154,357,15.5,-1.7,3
35019.048,3712,357.67,2.55,7.2,3
35019.048,2635,358.39,4.87,9.6,3
35019.048,2230,357.96,4.36,6,3
35019.048,1331,357.69,4.92,4.8,3
35019.069,2240,0.56,1.18,-1.2,3
35019.069,1926,0.51,5.3,8.4,3
35019.069,1534,0.21,8.07,7.2,3
35019.111,2253,5.59,4.37,-2.4,3
35019.111,2310,5.64,4.72,-1.2,3
35019.123,2071,7.09,11.84,10.6,3
35019.153,362,10.98,-1.1,-1.2,3
35019.153,4313,10.99,2.85,-1.2,3
35019.153,3455,11.01,5.23,7.2,3
35019.153,3240,11.01,5.42,8.4,3
35019.195,4323,15.34,2.88,2.4,3
35019.195,4343,15.35,2.94,1.2,3
35019.195,3412,15.36,6.35,9.6,3
35019.195,3024,15.77,4.91,7.2,3
35019.195,3272,15.74,5.68,6,3
35019.206,1198,15.64,8.06,4.8,3
