时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
35019.217,2414,17.9,4.78,7.2,3
35019.227,1220,19.27,17.7,7,3
35019.237,2800,20.43,5.06,8.4,3
35019.248,119,21.82,29.57,1.7,3
35019.257,2063,23.26,1.61,-2.4,3
35019.257,2140,22.96,1.33,-7.2,3
35019.279,2221,26.21,2.04,2.4,3
35019.279,890,25.51,4.69,3.6,3
35019.3,3344,28.75,2,1.2,3
35019.332,121,31.31,8.43,6,3
35019.342,120,33.12,5.51,3.6,3
35019.404,1992,41.17,5.69,4.8,3
35019.416,2900,41.22,7.54,-6,3
35019.426,131,43.55,-1.37,2.4,3
35019.426,102,43.67,0.98,1.2,3
35019.426,1551,43.62,5.42,3.6,3
35019.447,2111,45.8,1.24,1.2,3
35019.469,2383,48.35,0.57,1.2,3
35019.489,133,50.91,1,-2.4,3
35019.51,493,57.1,1.16,2.4,3
35019.553,118,59.28,5.44,3.6,3
35019.563,102,58.57,10.95,-2.4,3
35019.572,519,61.5,1.99,2.4,3
35019.594,481,64.39,2.05,-1.2,3
35019.614,1020,66.21,2.89,1.2,3
35021.313,1033,272.83,5.34,-2.4,4
35021.334,1012,275.07,5.1,2.4,4
35021.418,1050,285.68,6.01,-1.2,4
35021.439,775,287.64,3.38,1.2,4
35021.46,2034,290.53,5.21,6,4
35021.48,1013,293.03,2.76,-1.2,4
35021.48,1025,292.34,2.75,2.4,4
35021.501,1062,295.24,3.85,1.2,4
35021.523,685,297.38,-0.11,-1.2,4
35021.523,1613,298.1,2.78,-1.2,4
35021.523,122,297.41,6.36,4.8,4
35021.543,1080,300.26,1.97,-1.2,4
35021.565,1134,302.47,1.35,-1.2,4
35021.565,282,302.77,4.9,10.8,4
35021.576,131,303.83,29.43,1.7,4
35021.586,1144,304.94,0.47,1.2,4
35021.586,1601,304.96,1.95,2.4,4
35021.606,101,307.49,4.85,6,4
35021.628,143,309.83,2.43,-7.2,4
35021.649,1662,312.34,-0.32,1.2,4
35021.649,2213,312.35,1.59,3.6,4
35021.66,1086,317.44,15.6,5.3,4
35021.66,1271,312.37,7.58,3.6,4
35021.67,1211,315.55,1.26,-1.2,4
35021.67,1790,315.57,3.86,-2.4,4
35021.69,2240,318.09,5.05,3.6,4
35021.711,1195,320.3,1.09,2.4,4
35021.711,1785,320.56,3.35,2.4,4
35021.733,1123,323.07,2.11,-1.2,4
35021.754,2203,324.89,4.18,6,4
35021.775,2801,327.45,3.23,6,4
35021.775,161,327.45,4.3,2.4,4
35021.775,2289,327.47,4.91,3.6,4
35021.817,1782,332.47,3.23,-1.2,4
35021.817,1830,332.49,3.23,2.4,4
35021.838,1802,335.73,2.88,1.2,4
35021.838,1591,335.39,5.45,4.8,4
35021.838,1242,336.45,5.23,6,4
35021.848,1531,336.65,18.15,5.3,4
35021.858,1435,337.57,1.51,2.4,4
35021.858,1444,337.97,1.43,-2.4,4
35021.858,3671,337.98,3.36,7.2,4
35021.858,2516,337.81,4.49,4.8,4
35021.869,954,339.21,16.01,7,4
35021.869,916,339.48,21.31,7,4
35021.911,152,344.54,17.96,1.7,4
35021.932,102,346.6,22.42,3.5,4
35021.932,2095,345.61,8.59,9.6,4
35021.942,3794,348.68,0.74,-1.2,4
35021.942,2892,349.2,0.38,1.2,4
35021.984,153,353.01,-0.62,2.4,4
35021.984,921,353.01,2.33,3.6,4
35021.984,2345,352.81,5.88,3.6,4
35021.995,1765,354.17,15.67,8.8,4
35022.006,4015,355.31,-0.47,-1.2,4
35022.006,2126,355.31,-0.47,-1.2,4
35022.006,2803,355.31,1.79,6,4
35022.006,3272,356.04,5.52,9.6,4
35022.016,1384,355.35,6.67,1.2,4
35022.016,1365,356.7,14.38,8.8,4
35022.026,2182,358.54,0.24,1.2,4
35022.026,3240,358.2,2.4,6,4
35022.026,2663,358.57,4.9,10.8,4
35022.047,3572,0.36,2.13,7.2,4
35022.047,3166,1.08,4.78,9.6,4
35022.069,324,3.59,-1.13,1.2,4
35022.069,2263,3.25,4.11,-1.2,4
35022.069,2894,3.28,5.23,8.4,4
35022.079,121,4.77,27.11,3.5,4
35022.089,1232,5.72,7.09,6,4
35022.1,2096,6.79,11.45,10.6,4
35022.131,353,11.17,-0.95,-1.2,4
35022.131,4304,11.19,2.92,-1.2,4
35022.131,114,10.49,1.82,3.6,4
35022.131,3934,10.5,5.36,7.2,4
35022.142,210,11.2,10.23,2.4,4
35022.151,4326,12.99,3.06,-1.2,4
35022.162,2713,13.75,7.28,8.4,4
35022.162,1031,13.47,7.74,3.6,4
35022.173,4313,15.54,2.67,1.2,4
35022.194,2435,18.07,5.75,8.4,4
35022.214,4209,21.28,2.77,-2.4,4
35022.214,2152,20.59,2.85,-8.4,4
35022.214,2882,21.31,4.78,4.8,4
35022.226,284,22.24,28.7,1.7,4
35022.236,2093,23.11,1.39,-1.2,4
35022.267,2403,25.66,6.89,6,4
35022.278,3295,28.15,2.93,-1.2,4
35022.278,274,28.54,0.98,2.4,4
35022.278,3312,28.87,2.4,2.4,4
35022.299,584,31.4,1.79,2.4,4
35022.32,530,33.21,1.68,1.2,4
35022.32,534,33.42,1.49,-2.4,4
35022.333,1183,34.6,17.29,5.3,4
35022.333,2519,33.96,7.39,6,4
35022.341,3103,36.46,3.05,-1.2,4
35022.351,1802,37.62,14.73,7,4
35022.361,114,39.03,7.07,3.6,4
35022.383,2383,40.83,1.09,1.2,4
35022.393,2883,41.16,9.4,-3.6,4
35022.404,2093,43.68,1.08,-7.2,4
35022.414,1392,44.77,12.39,3.5,4
35022.425,541,46.65,0.45,-1.2,4
35022.425,1052,45.95,0.86,1.2,4
35022.445,112,48.49,-0.16,-1.2,4
35022.445,979,48.49,0.32,1.2,4
35022.466,512,51.03,0.51,-1.2,4
35022.498,103,55.01,28.21,-3.5,4
35022.508,533,56.86,2.47,-1.2,4
35022.508,135,56.17,6.89,2.4,4
35022.529,193,58.69,-0.14,-1.2,4
35022.551,521,61.26,2.12,1.2,4
35022.561,1094,62.92,20.96,1.7,4
35022.571,1331,64.51,-0.58,-1.2,4
35022.603,103,67.73,13.24,1.7,4
35024.271,973,270.15,4.36,-1.2,5
35024.271,1014,273.89,5.04,1.2,5
35024.281,1251,271.71,11.33,5.3,5
35024.291,1322,272.4,5.1,1.2,5
35024.313,1050,274.92,5.91,-2.4,5
35024.396,809,285.72,5.62,1.2,5
35024.417,1033,288.56,4.76,-1.2,5
35024.428,154,288.9,26.45,3.5,5
35024.449,114,291.89,11.53,3.5,5
35024.459,711,293.26,1.87,1.2,5
35024.459,993,293.26,2.97,2.4,5
35024.459,1069,292.58,4.4,-1.2,5
35024.459,1033,292.58,3.73,1.2,5
35024.49,2065,295.39,7.84,4.8,5
35024.501,684,297.94,0.33,-1.2,5
35024.522,1080,300.12,1.62,1.2,5
35024.522,1084,300.85,1.93,-2.4,5
35024.543,1130,303.01,1.62,-2.4,5
35024.564,1589,305.53,0.86,1.2,5
35024.585,1665,307.7,1.48,-1.2,5
35024.585,252,307.69,1.78,1.2,5
35024.585,124,308.41,2.76,-8.4,5
35024.617,191,312.04,28.33,1.7,5
35024.626,2230,312.68,2.07,3.6,5
35024.648,1745,315.82,3.13,-1.2,5
35024.659,560,316.73,16.04,5.3,5
35024.668,1193,318.3,1.21,-1.2,5
35024.668,1241,319.06,1.76,2.4,5
35024.69,1741,320.45,2.43,1.2,5
35024.7,2439,320.84,10.04,8.4,5
35024.7,1120,321.7,15.88,5.3,5
35024.71,1134,323.31,2.4,-1.2,5
35024.71,172,322.63,4.25,3.6,5
35024.71,2214,323.33,3.97,6,5
35024.721,1423,323.05,8.47,3.6,5
35024.753,893,328.66,0.67,1.2,5
35024.753,3125,328.39,3.57,7.2,5
35024.774,1193,330.18,1.49,1.2,5
35024.774,2383,330.21,5.28,8.4,5
35024.794,1461,333.41,2.51,-1.2,5
35024.794,1798,333.42,2.86,1.2,5
35024.794,2533,333.08,4.71,6,5
35024.794,1261,332.74,5.05,7.2,5
35024.815,1491,335.98,2.85,2.4,5
35024.826,159,336.66,15.15,3.5,5
35024.837,1762,337.79,2.15,2.4,5
35024.837,3002,338.28,2.86,6,5
35024.837,1863,338.21,6.17,6,5
35024.858,1454,341.08,4.15,7.2,5
35024.869,112,340.37,7.46,-1.2,5
35024.879,120,343.1,-0.53,-3.6,5
35024.879,1164,343.26,6.5,6,5
35024.9,4666,346.13,0.45,-1.2,5
35024.9,2335,345.71,4.96,7.2,5
35024.91,975,347.03,11.73,7,5
35024.91,2123,345.44,8.17,8.4,5
35024.921,3842,349.17,0.8,1.2,5
35024.921,3791,348.64,0.54,-2.4,5
35024.921,1484,348.64,-0.5,-3.6,5
35024.953,138,352.14,24.52,7,5
35024.963,1582,353.18,-0.92,-2.4,5
35024.973,2993,353.4,8.59,9.6,5
35024.984,3726,355.5,-0.58,-1.2,5
35024.984,4754,355.76,-0.28,2.4,5
35024.984,2241,355.87,4.5,6,5
35024.984,3300,355.88,5.56,9.6,5
35025.004,2222,358.01,1.44,-2.4,5
35025.004,393,358.38,-0.25,1.2,5
35025.004,2252,358.72,0.62,1.2,5
35025.025,2040,1.25,5.52,8.4,5
35025.046,2282,3.77,4.71,-1.2,5
35025.046,3608,3.79,5.05,8.4,5
35025.058,172,3.08,9.16,2.4,5
35025.068,320,6.28,0.05,-1.2,5
35025.077,2519,5.87,7.8,6,5
35025.077,2132,6.97,11.61,10.6,5
35025.088,4256,8.5,5.55,9.6,5
35025.121,2821,10.68,7.43,9.6,5
35025.152,4334,15.77,2.92,1.2,5
35025.152,4423,15.74,5.11,7.2,5
35025.162,1262,17.12,17.2,7,5
35025.172,3403,18.62,4.72,4.8,5
35025.184,1299,19.66,19.55,7,5
35025.184,101,19.66,19.15,5.3,5
35025.193,2894,21.17,4.76,6,5
35025.193,2653,20.82,5.46,7.2,5
35025.234,2239,26.16,2.41,3.6,5
35025.234,1324,26.56,2.2,3.6,5
35025.234,2526,26.58,5,6,5
35025.246,2040,25.88,7.01,6,5
35025.256,594,28.64,1.93,2.4,5
35025.298,540,33.41,1.76,1.2,5
35025.298,3434,33.92,3.76,2.4,5
35025.34,582,38.48,1.23,-1.2,5
35025.34,320,38.48,0.93,-1.2,5
35025.34,2025,39.2,5.75,4.8,5
35025.361,424,41.26,1.91,-2.4,5
35025.382,2163,43.54,1.34,-7.2,5
35025.382,2114,45.42,1.07,-1.2,5
35025.382,139,47.29,6.72,3.6,5
35025.403,101,47.54,0.08,1.2,5
35025.403,150,46.08,-0.57,1.2,5
35025.403,1688,46.08,0.59,1.2,5
35025.403,1051,46.1,0.65,1.2,5
35025.434,1559,50.04,11.9,3.5,5
35025.456,1315,53.09,9.7,1.7,5
35025.466,523,59.63,2.01,1.2,5
35025.497,119,56.58,7.48,1.2,5
35025.571,469,66.91,1.97,1.2,5
35027.26,1269,271.73,11.66,3.5,6
35027.27,981,273.11,4.65,2.4,6
35027.311,1023,277.96,6.2,-2.4,6
35027.322,112,279.24,22.3,7,6
35027.332,779,287.96,3.97,-1.2,6
35027.343,168,282.01,24.62,3.5,6
35027.374,753,285.91,3.89,2.4,6
35027.374,802,285.91,5.77,-2.4,6
35027.395,1032,288.43,4.92,-1.2,6
35027.406,143,289.11,26.23,3.5,6
35027.416,774,290.25,2.3,1.2,6
35027.427,1338,290.27,8.19,3.6,6
35027.437,144,293.12,5.17,3.6,6
35027.458,1043,296.01,3.88,2.4,6
35027.521,111,303.57,3.21,-4.8,6
35027.521,1582,302.89,3.65,1.2,6
35027.542,1268,305.65,1.47,3.6,6
35027.542,1612,306.09,1.64,-2.4,6
35027.553,180,306.98,13.98,1.7,6
35027.604,1222,313.46,1.75,1.2,6
35027.604,981,313.18,0.44,-2.4,6
35027.626,1783,315.74,4.26,-2.4,6
35027.626,1415,316.01,4.22,3.6,6
35027.648,1201,317.8,1.03,1.2,6
35027.648,715,317.8,1.64,3.6,6
35027.668,1791,320.33,4.32,2.4,6
35027.668,179,320.33,4.37,2.4,6
35027.689,1153,323.17,2.75,1.2,6
35027.7,455,324.4,24.69,5.3,6
35027.721,169,327.16,12.87,3.5,6
35027.721,562,325.33,8.03,2.4,6
35027.73,1182,327.82,1.15,-2.4,6
35027.73,3006,327.84,8.26,-8.4,6
35027.73,2632,328.19,4.63,2.4,6
35027.742,1690,328.22,8.62,6,6
35027.752,2363,330.73,3.65,4.8,6
35027.763,158,331.11,10.25,2.4,6
35027.773,124,333.58,-0.16,4.8,6
35027.793,3964,335.43,3.11,3.6,6
35027.793,1881,336.18,6.09,6,6
35027.804,184,337.09,17.09,3.5,6
35027.804,214,338.49,27.89,3.5,6
35027.836,1884,340.56,2.65,2.4,6
35027.836,4578,341.27,2.63,7.2,6
35027.836,4245,341.27,2.87,6,6
35027.847,1298,348.19,9.15,6,6
35027.856,152,343.8,-0.71,-1.2,6
35027.878,2624,346.35,1.51,-1.2,6
35027.878,456,346.35,-0.69,1.2,6
35027.878,2359,345.95,4.96,7.2,6
35027.888,2148,345.67,8.16,8.4,6
35027.919,3785,350.96,0.67,-2.4,6
35027.919,2551,351.15,6.38,9.6,6
35027.93,439,350.75,10.09,4.8,6
35027.94,1710,353.96,5.19,8.4,6
35027.951,1966,353.97,9.47,8.4,6
35027.962,2240,355.77,4.06,7.2,6
35027.962,3329,355.78,5.56,9.6,6
35027.962,1330,355.78,4.55,6,6
35027.972,302,357.63,18.53,3.5,6
35027.983,4394,358.7,2.77,9.6,6
35027.983,94,358.29,1.41,1.2,6
35027.983,3746,358.29,2.66,6,6
35027.993,182,358.31,7.85,3.6,6
35028.014,2394,1.22,8.26,-4.8,6
35028.025,2274,4.03,5.07,1.2,6
35028.025,3632,3.32,4.93,8.4,6
35028.045,314,6.53,-0.08,-1.2,6
35028.056,2534,6.04,7.45,4.8,6
35028.056,1310,5.85,7.22,6,6
35028.066,2246,8.72,5.1,1.2,6
35028.077,1063,9.73,12.16,5.3,6
35028.087,2368,11.11,3.31,-2.4,6
35028.108,4320,13.61,2.96,1.2,6
35028.108,3491,13.77,6.3,8.4,6
35028.129,2875,16.65,5.07,4.8,6
35028.129,3095,16.65,5.41,7.2,6
35028.129,4512,16.27,5.46,7.2,6
35028.129,2655,16.65,5.08,3.6,6
35028.129,2482,16.37,6.24,8.4,6
35028.172,5285,21.33,3.16,3.6,6
35028.172,2675,21.01,5.53,7.2,6
35028.181,1500,21.02,8.64,3.6,6
35028.191,1999,23.51,1.64,-2.4,6
35028.191,3283,23.89,3.71,2.4,6
35028.213,3333,26.5,4.1,-2.4,6
35028.213,2166,27.47,6.14,4.8,6
35028.213,2552,29.72,5.33,6,6
35028.224,2059,26.08,7.09,7.2,6
35028.245,102,29.99,24.67,-1.7,6
35028.255,539,31.48,1.67,-2.4,6
35028.266,2227,31.53,8.22,4.8,6
35028.287,1842,35.05,14.49,7,6
35028.296,2813,36.92,1.71,-1.2,6
35028.318,590,38.75,1.29,2.4,6
35028.318,2040,38.76,5.46,4.8,6
35028.339,2092,41.72,1.21,-2.4,6
35028.339,2383,41.27,1.26,2.4,6
35028.339,2593,41.64,2.71,-1.2,6
35028.35,1561,41.3,9.37,3.6,6
35028.35,1302,42.66,11.26,3.5,6
35028.382,154,47.06,-1.16,-1.2,6
35028.401,94,49.03,0.48,1.2,6
35028.401,550,49.62,1.03,1.2,6
35028.413,1571,50.28,11.72,5.3,6
35028.444,103,54.26,-0.96,1.2,6
35028.444,501,56.81,1.08,1.2,6
35028.455,139,55.75,10.13,2.4,6
35028.507,523,61.61,2.02,1.2,6
35028.518,133,61.94,7.09,1.2,6
