时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
42563.147,723,343.72,17.59,5.3,17
42563.158,331,342.18,39.14,5.3,17
42563.168,929,345.19,14.27,5.3,17
42563.168,483,344.72,22.65,5.3,17
42563.232,1074,352.81,12.13,5.3,17
42563.232,495,352.35,29.69,5.3,17
42563.253,1398,354.22,9.33,6,17
42563.273,551,358.74,21.06,5.3,17
42563.294,985,0.39,13.73,7,17
42563.294,718,0.39,14.65,7,17
42563.315,1151,2.43,12.28,5.3,17
42563.357,1274,7.62,11.1,7,17
42563.357,622,7.54,14.25,5.3,17
42563.357,583,7.49,17.64,7,17
42563.42,733,15.52,12.89,5.3,17
42563.44,1153,17.59,10.7,5.3,17
42563.44,992,17.59,14.36,8.8,17
42563.462,1280,20.61,11.15,5.3,17
42563.505,1140,23.83,8.76,7.2,17
42563.505,784,25.18,11.76,5.3,17
42563.505,809,25.67,14.57,5.3,17
42563.651,1431,42.22,8.58,7.2,17
42565.664,782,286.81,11.07,5.3,18
42565.705,771,291.88,14.04,5.3,18
42565.811,1050,303.15,8.8,7.2,18
42565.854,1311,309.47,10.13,5.3,18
42565.854,1204,308.16,8.12,7.2,18
42565.854,1083,311.58,11.7,5.3,18
42565.937,1461,318.12,9.68,7.2,18
42565.937,692,319.46,20.46,5.3,18
42566.062,1061,334.57,13.4,5.3,18
42566.062,433,335.06,23.06,5.3,18
42566.105,1202,339.24,10.15,6,18
42566.105,751,340.2,19.27,5.3,18
42566.114,1378,340.88,6.7,6,18
42566.126,759,342.5,15.63,5.3,18
42566.126,733,342.24,16.11,5.3,18
42566.157,1753,346.67,5.07,6,18
42566.157,2035,346.67,5.09,13.3,18
42566.168,470,349.18,25.95,5.3,18
42566.168,321,347.59,30.63,5.3,18
42566.209,1091,352.68,11.94,5.3,18
42566.23,782,354.94,14.2,5.3,18
42566.23,531,354.95,21.47,5.3,18
42566.24,3004,356.35,3.72,6,18
42566.262,2606,358.64,5.25,6,18
42566.272,1250,0.28,10.66,7,18
42566.272,905,1.14,13.44,7,18
42566.272,553,0,17.59,5.3,18
42566.356,673,10.36,16.02,5.3,18
42566.378,1016,12.64,14.13,5.3,18
42566.419,801,17.9,13.32,5.3,18
42566.514,1683,29.32,5.37,7.2,18
42566.587,1298,36.65,9.89,7.2,18
42566.629,1461,42.38,7.75,6,18
42566.755,1035,58.3,9.99,5.3,18
42568.643,801,287.24,14.24,7,19
42568.726,1030,297.58,9.96,5.3,19
42568.768,629,302.16,14.26,7,19
42568.81,767,308.37,18.8,5.3,19
42568.832,1111,310.12,10.54,7,19
42568.894,1055,317.28,13.62,5.3,19
42568.894,704,317.63,20.06,5.3,19
42568.915,744,320.14,19.54,5.3,19
42568.957,980,323.35,9.96,6,19
42568.979,1322,326.56,7.61,6,19
42568.999,1342,328.37,7.61,6,19
42569.02,1076,332.55,12.46,5.3,19
42569.041,580,335.25,17.79,5.3,19
42569.061,1969,336.29,6.95,6,19
42569.061,1707,336.45,7.7,8.4,19
42569.072,2074,338.52,5.63,8.4,19
42569.083,1213,338.84,10.43,6,19
42569.093,1312,341.6,7.89,6,19
42569.104,797,342.92,11.67,8.8,19
42569.114,1372,343.96,6.82,6,19
42569.126,359,344.98,29.75,5.3,19
42569.136,2643,346.13,3.7,7.2,19
42569.146,786,348,17.78,5.3,19
42569.155,1681,348.68,6.48,6,19
42569.168,1172,348.69,9.65,7.2,19
42569.168,886,350.3,16.35,5.3,19
42569.168,488,350.05,25.13,5.3,19
42569.176,2150,351.91,5.74,7.2,19
42569.188,520,353.07,27.48,5.3,19
42569.198,2554,354.07,4.08,9.6,19
42569.198,1340,353.74,6.46,7.2,19
42569.209,549,355.34,23.53,7,19
42569.251,1183,0.13,11.47,7,19
42569.251,926,0.13,13.06,7,19
42569.293,622,5.2,15.99,5.3,19
42569.314,692,8.22,15.39,5.3,19
42569.377,392,15.6,24.6,5.3,19
42569.398,822,19.62,13.11,5.3,19
42569.523,1621,31.98,8.77,6,19
42569.607,1324,42.18,7.29,7.2,19
42571.767,1020,311,11.75,5.3,20
42571.789,782,307.73,18.19,5.3,20
42571.809,1120,310.23,12.77,5.3,20
42571.852,1072,315.39,11.46,5.3,20
42571.893,1034,320.22,12.43,7,20
42571.915,1053,320.91,9.38,6,20
42571.915,996,322.74,10.11,5.3,20
42571.915,1525,320.91,8.74,7.2,20
42571.925,1635,323.66,6.73,6,20
42571.935,807,325.06,17.54,7,20
42571.956,1676,325.93,7.36,7.2,20
42571.978,734,334.13,17.78,5.3,20
42571.998,1333,337.66,7.86,6,20
42571.998,720,332.85,14.24,5.3,20
42572.04,1234,337.91,9.98,7,20
42572.072,2261,341.9,4.12,8.4,20
42572.072,1333,341.43,7.63,6,20
42572.082,792,342.56,14.87,5.3,20
42572.082,370,342.57,29.12,5.3,20
42572.113,2653,346.29,4.22,7.2,20
42572.113,1951,346.65,6.16,8.4,20
42572.124,525,347.67,21,5.3,20
42572.124,491,347.67,25,5.3,20
42572.134,1695,348.84,5.26,6,20
42572.146,1189,349.25,9.12,6,20
42572.165,1161,353.23,11.5,8.8,20
42572.165,534,353.25,26.59,5.3,20
42572.177,1363,354.57,6.94,6,20
42572.186,611,355.48,19,5.3,20
42572.209,1242,357.09,9.99,6,20
42572.209,974,358.03,14.32,7,20
42572.218,2915,359.32,4.87,7.2,20
42572.218,2644,358.96,5.09,8.4,20
42572.229,941,0.59,12.62,7,20
42572.25,634,6.25,16,5.3,20
42572.271,479,5.46,19.83,5.3,20
42572.292,1331,8.16,9.71,7,20
42572.375,829,18.23,13.69,5.3,20
42572.48,607,30.64,18.2,7,20
42572.543,595,38.51,23.6,5.3,20
42572.565,1423,39.49,8.48,7.2,20
42572.575,1353,42.17,6.66,6,20
42572.627,1160,48.41,11.86,7,20
42574.598,842,287.63,10.7,7,21
42574.621,796,289.9,13.88,7,21
42574.746,759,305.3,18.61,5.3,21
42574.767,797,307.56,17.85,5.3,21
42574.788,1135,310.07,11.79,5.3,21
42574.808,1039,312.49,11.18,7,21
42574.839,1425,316.25,6.42,8.4,21
42574.913,1590,323.87,9.03,6,21
42574.935,1368,328.42,7.79,6,21
42574.935,766,327.44,11.3,5.3,21
42574.935,784,327.64,15.33,7,21
42574.997,1131,333.62,8.34,6,21
42575.039,1305,338.99,8.74,7.2,21
42575.039,1061,339.07,9.84,7.2,21
42575.039,1369,340.38,9.98,5.3,21
42575.039,767,340.57,18.89,5.3,21
42575.039,391,340.54,28.44,5.3,21
42575.049,1344,341.44,7.18,6,21
42575.06,803,342.63,14.42,5.3,21
42575.06,701,342.63,14.26,5.3,21
42575.06,409,343.13,24,5.3,21
42575.071,1403,343.79,6.31,6,21
42575.102,1056,347.71,13.34,7,21
42575.122,918,350.75,15.79,5.3,21
42575.144,548,354.73,25.83,5.3,21
42575.154,2605,353.97,4.24,8.4,21
42575.166,1199,353.98,9.36,6,21
42575.166,572,355.56,17.48,5.3,21
42575.166,586,355.35,22.59,7,21
42575.175,2730,357.19,4.17,9.6,21
42575.196,2663,359.03,4.73,7.2,21
42575.206,964,0.61,11.84,7,21
42575.228,1283,3.4,11.17,5.3,21
42575.228,654,2.92,14.54,5.3,21
42575.228,491,3.41,19.29,5.3,21
42575.29,940,10.71,9.8,5.3,21
42575.332,1331,14.19,8.18,6,21
42575.354,844,18.2,13.1,5.3,21
42575.384,2416,22.16,4.6,6,21
42575.396,832,23.61,11.41,5.3,21
42575.438,625,28.55,17.35,5.3,21
42575.48,1290,32.15,9.6,6,21
42575.531,1492,39.49,6.22,6,21
42575.542,1452,39.5,8.63,8.4,21
42575.584,1180,45.94,11.62,7,21
42575.626,1236,50.38,9.73,6,21
42577.58,860,287.27,10.97,7,22
42577.619,836,292.32,12.5,5.3,22
42577.661,774,297.39,16.43,5.3,22
42577.725,772,304.95,18.25,5.3,22
42577.725,392,305.02,25.81,5.3,22
42577.744,1034,306.42,9.29,6,22
42577.744,812,307.45,17.53,5.3,22
42577.766,1155,309.91,11.21,5.3,22
42577.766,821,309.91,12.56,7,22
42577.766,584,310.38,24.11,5.3,22
42577.787,1058,312.64,11.08,7,22
42577.808,1125,314.9,10.27,7,22
42577.817,1444,316.06,6.28,8.4,22
42577.849,1193,318.6,9.14,6,22
42577.892,1102,324.02,9.19,6,22
42577.912,1386,326.92,8.14,6,22
42577.912,820,327.8,15.83,5.3,22
42577.935,622,330.32,17.25,5.3,22
42577.975,1297,335.44,10.72,5.3,22
42577.975,774,335.65,14.32,5.3,22
42578.017,835,340.72,12.69,7,22
42578.017,391,340.3,27.91,5.3,22
42578.028,2033,341.76,6.44,6,22
42578.028,1975,341.41,4.43,8.4,22
42578.028,1414,341.84,6.59,6,22
42578.028,1363,341.42,7.41,6,22
42578.038,712,342.79,13.77,5.3,22
42578.06,531,348.34,24.88,5.3,22
42578.081,1063,346.5,9.35,6,22
42578.081,600,348.05,24.57,7,22
42578.091,1789,349.43,6.95,6,22
42578.101,931,350.89,15.45,5.3,22
42578.101,636,350.89,17.9,5.3,22
42578.122,1230,351.97,8.43,6,22
42578.133,2484,354.47,4.25,6,22
42578.143,901,355.45,11.2,5.3,22
42578.143,606,355.47,23,7,22
42578.164,410,359.95,25.06,5.3,22
42578.185,989,1.02,12.53,7,22
42578.185,668,0.53,14.28,7,22
42578.248,1355,7.77,10.49,5.3,22
42578.311,864,16.06,13.31,5.3,22
42578.311,391,16.18,27.77,5.3,22
42578.489,1544,37.41,7.01,6,22
42580.513,553,282.36,15.82,5.3,23
42580.597,861,292.94,10.9,7,23
42580.639,629,297.52,14.62,7,23
42580.659,1053,300.18,12.77,7,23
42580.682,418,304.57,29.19,5.3,23
42580.724,1054,306.26,8.74,6,23
42580.724,1170,311.47,11.61,5.3,23
42580.744,420,310.33,23.19,5.3,23
42580.765,1082,312.52,10.98,7,23
42580.786,1144,313.96,10.15,7.2,23
42580.849,1033,322.84,10.22,5.3,23
42580.912,1312,330.19,10.72,5.3,23
42580.932,793,332.73,13.17,5.3,23
42580.932,650,333,14.21,5.3,23
42580.953,1272,335.78,10.76,7,23
42580.953,352,335.3,30.26,5.3,23
42580.974,1674,336.45,8.56,6,23
42580.995,859,340.86,12.81,5.3,23
42580.995,1173,340.86,9.67,5.3,23
42580.995,415,340.4,27.82,5.3,23
42581.005,2052,341.9,6.15,6,23
42581.017,721,342.92,12.69,5.3,23
42581.048,1659,346.62,6.45,8.4,23
42581.079,945,351.04,15.07,5.3,23
42581.1,1249,352.12,8.01,7.2,23
42581.122,1753,354.72,7.83,7.2,23
42581.122,920,356.09,11.51,7,23
42581.122,586,356.1,19.05,5.3,23
42581.131,2382,357.05,5.04,7.2,23
42581.142,690,358.64,13.53,7,23
42581.164,1006,0.93,10.9,7,23
42581.184,772,3.44,11.61,7,23
42581.184,589,3.56,23.93,5.3,23
42581.205,1202,5.08,7.53,6,23
42581.268,576,13.34,25.01,5.3,23
42581.289,882,14.83,9.86,6,23
42581.31,860,19.91,14.78,5.3,23
42581.376,830,25.96,14.81,5.3,23
42581.469,1536,39.09,5.88,6,23
42583.533,900,291.6,10.25,7,24
42583.576,371,292.7,29.57,5.3,24
42583.638,800,300.72,17.87,5.3,24
42583.659,433,303.18,27.72,5.3,24
42583.701,1071,306.43,8.65,6,24
42583.722,675,310.4,18.67,10.6,24
42583.743,1103,313.17,10.68,7,24
42583.764,1121,314.56,8.02,6,24
42583.764,1182,315.2,11.27,5.3,24
42583.785,1223,317.02,8.84,6,24
42583.785,1364,317.07,9.8,8.4,24
42583.827,1050,322.76,9.7,7,24
42583.848,805,325.29,10.78,5.3,24
42583.891,1329,328.97,10.77,6,24
42583.911,663,332.9,13.74,5.3,24
42583.931,1290,335.41,10.65,7,24
42583.931,782,335.9,13.35,5.3,24
42583.931,361,335.57,28.55,5.3,24
42583.963,1399,339.9,6.66,6,24
42583.974,1422,339.64,9.65,7.2,24
42583.974,1186,340.55,9.74,5.3,24
42583.984,2074,342.44,6.12,8.4,24
42583.994,1355,341.73,7.84,6,24
42583.994,1211,343.35,10.84,5.3,24
42584.015,873,345.75,13.64,5.3,24
42584.037,584,348.18,21.08,5.3,24
42584.058,962,351.19,14.53,5.3,24
42584.058,530,350.93,23.96,5.3,24
42584.12,1304,357.26,10.1,6,24
42584.12,701,358.29,13.22,7,24
42584.12,966,358.28,10.73,5.3,24
42584.12,634,358.55,18.82,7,24
42584.13,1984,359.46,5.38,9.6,24
42584.142,1032,1.1,12.4,7,24
42584.142,661,1.05,19.43,5.3,24
42584.142,433,0.83,26.28,5.3,24
42584.163,1229,4.41,10.02,6,24
42584.163,602,3.35,23.32,5.3,24
42584.183,1734,4.92,7.79,8.4,24
42584.204,1086,8.62,10.94,5.3,24
42584.268,1116,15.97,12.84,5.3,24
42584.268,818,15.97,16.52,5.3,24
42584.268,414,15.98,23.45,5.3,24
42584.289,880,18.77,14.09,5.3,24
42584.308,805,21.26,14.18,7,24
42584.33,850,23.55,11.51,7,24
42584.33,659,25.3,18.49,5.3,24
42584.373,615,28.62,20.05,5.3,24
42584.467,1536,39.88,5.84,6,24
42584.498,1120,44.26,11.17,7,24
42586.511,905,287.96,12.35,5.3,25
42586.638,445,302.84,26.89,5.3,25
42586.658,850,305.83,16.06,5.3,25
42586.742,1188,314.7,10.05,6,25
42586.806,1083,322.06,9.31,7.2,25
42586.826,1652,324.11,7.97,7.2,25
42586.868,1242,330.51,11.18,8.8,25
42586.909,1352,334.61,10.39,6,25
42586.931,1411,337.11,8.16,7.2,25
42586.941,2153,339.28,5.75,8.4,25
42586.941,1416,339.28,6.6,6,25
42586.952,930,341.14,13.16,5.3,25
42586.952,1440,339.54,9.55,7.2,25
42586.952,579,340.66,17,5.3,25
42586.962,1390,341.82,7.09,8.4,25
42586.973,1034,341.83,10.51,7.2,25
42586.973,1224,343.42,10.5,5.3,25
42586.983,1715,344.71,7.13,9.6,25
42586.994,1357,344.37,8.24,6,25
42586.994,860,345.99,14.86,5.3,25
42587.005,1779,346.91,5.88,6,25
42587.014,674,348.34,16.25,5.3,25
42587.014,931,348.76,14.79,5.3,25
42587.014,596,348.28,21.16,5.3,25
42587.056,593,353.36,16.74,5.3,25
42587.056,975,353.36,13.83,5.3,25
42587.099,1326,0.59,10.18,5.3,25
42587.099,654,358.92,17.71,5.3,25
42587.12,1053,0.96,11.33,7,25
42587.12,679,0.97,18.93,5.3,25
42587.12,615,1.22,22.3,5.3,25
42587.14,1254,2.29,9.74,6,25
42587.161,528,11.06,17.96,5.3,25
42587.182,1540,7.19,8.47,8.4,25
42587.182,1129,8.54,11.55,5.3,25
42587.203,655,11.56,14.04,7,25
42587.203,433,11.35,23.09,5.3,25
42587.266,1389,17.99,8.26,6,25
42587.266,815,19.11,13.31,5.3,25
42587.287,879,21.15,12.78,5.3,25
42587.298,2303,22.31,5.17,6,25
42587.308,672,23.67,18.13,5.3,25
42587.33,775,26.4,15.75,5.3,25
42587.33,630,26.19,19.6,5.3,25
42587.339,1796,27.34,5.02,6,25
42587.381,1704,33.1,6.63,6,25
42587.414,496,36.3,18.51,5.3,25
42587.444,1536,40.44,7.9,6,25
42589.51,393,290.82,26.87,5.3,26
42589.531,913,292.84,10.11,5.3,26
42589.553,525,295.86,27.98,7,26
42589.636,864,305.9,15.75,5.3,26
42589.657,890,308.4,14.02,5.3,26
42589.699,586,312.86,24.75,5.3,26
42589.72,1199,314.73,8.22,6,26
42589.741,855,317.9,14.1,5.3,26
42589.783,1081,323.1,9.73,6,26
42589.793,1714,324.86,5.36,6,26
42589.793,1465,324.86,6.97,6,26
42589.836,1959,329.91,6.91,6,26
42589.846,865,330.8,15.33,5.3,26
42589.867,1260,332,10.44,7.2,26
42589.888,819,335.6,13.57,5.3,26
42589.888,1372,334.3,9.54,6,26
42589.888,402,335.61,25.93,5.3,26
42589.909,838,338.17,11.54,7,26
42589.93,1460,339.37,9.27,7.2,26
42589.93,1679,339.37,8.35,12,26
42589.94,1412,341.99,7.22,8.4,26
42589.972,494,346.08,26.01,5.3,26
42589.993,560,348.86,24.31,7,26
42590.015,1940,349.54,7.4,7.2,26
42590.015,600,350.91,23.18,7,26
42590.027,2121,352.78,6.57,7.2,26
42590.035,685,353.8,13.37,5.3,26
42590.035,994,353.43,14.23,7,26
42590.035,610,353.43,16.63,7,26
42590.045,2438,355.3,5.88,7.2,26
42590.045,1321,354.96,6.56,8.4,26
42590.077,1665,357.48,7.98,6,26
42590.077,670,358.99,17.05,7,26
42590.077,404,358.99,26.38,5.3,26
42590.097,1074,1.01,11.32,7,26
42590.097,631,1.03,21.35,5.3,26
42590.14,710,6.07,13.55,5.3,26
42590.161,1562,7.25,8.7,7.2,26
42590.161,1352,9.21,8.46,6,26
42590.203,1144,13.66,12.16,5.3,26
42590.203,842,13.67,16.82,5.3,26
42590.265,861,21.27,14.45,7,26
42590.265,683,21.54,16.63,5.3,26
42590.287,891,24.51,9.94,6,26
42590.328,1253,27.51,8.2,8.4,26
42590.328,814,28.86,11.21,7,26
42590.361,1724,32.55,5.7,7.2,26
42590.401,1564,38.32,5.77,6,26
42590.433,1164,41.51,11.22,7,26
42592.467,933,288.36,11.83,5.3,27
42592.489,408,290.43,25.72,5.3,27
42592.551,966,298.48,9.93,10.6,27
42592.572,541,300.78,17.69,7,27
42592.615,880,305.82,15.42,5.3,27
42592.657,1261,309.22,7.66,6,27
42592.677,1153,311.64,10.04,6,27
42592.72,1162,318.28,12.11,5.3,27
42592.72,870,318,14.22,5.3,27
42592.762,1113,322.39,9.52,7.2,27
42592.762,688,323.38,14.48,5.3,27
42592.782,1232,325.57,11.61,5.3,27
42592.824,720,330.9,12.64,5.3,27
42592.845,643,333.47,14.37,7,27
42592.867,1388,334.37,9.28,6,27
42592.888,609,338.25,15.32,5.3,27
42592.908,913,340.84,11.32,5.3,27
42592.908,1112,339.46,8.53,7.2,27
42592.929,609,343.39,23.38,5.3,27
42592.95,635,345.93,20.29,5.3,27
42592.972,1404,347.1,8.66,6,27
42592.972,948,348.46,11.28,7,27
42592.992,1009,351.49,13.9,5.3,27
42593.002,2710,352.6,4.92,6,27
42593.034,701,356.07,13.6,5.3,27
42593.034,624,356.07,18.3,5.3,27
42593.055,1359,357.31,9.88,6,27
42593.055,644,358.85,20.78,5.3,27
42593.076,543,1.13,25.18,5.3,27
42593.097,440,3.93,28.34,5.3,27
42593.118,720,6.16,13.85,5.3,27
42593.14,1585,7.78,8.6,8.4,27
42593.18,1161,13.75,11.59,5.3,27
42593.18,500,14.25,23.09,5.3,27
42593.202,892,16.28,13.04,5.3,27
42593.223,1351,17.82,8.04,6,27
42593.243,910,21.83,10.84,7,27
42593.243,692,22.63,15.95,5.3,27
42593.243,660,21.36,18.02,5.3,27
42593.265,732,24.19,13.8,5.3,27
42595.488,392,293.36,24.72,5.3,28
42595.509,940,294.22,9.34,6,28
42595.594,894,305.67,14.9,5.3,28
42595.614,1058,307.15,8.49,6,28
42595.614,1243,308.15,9.82,7,28
42595.635,760,311.06,16.68,7,28
42595.655,704,313.57,13.28,5.3,28
42595.655,1212,313.26,8.9,6,28
42595.74,1134,322.13,9.97,6,28
42595.782,1387,327.52,8.77,6,28
42595.782,1163,328.16,11.45,5.3,28
42595.782,825,328.16,12.73,5.3,28
42595.782,809,328.43,17.17,5.3,28
42595.791,1223,329.36,7.38,6,28
42595.824,1362,332.62,8.7,6,28
42595.833,2094,334.85,6.65,7.2,28
42595.844,621,336.32,14.17,5.3,28
42595.855,2131,339.99,5.64,6,28
42595.865,1131,340.35,8.22,6,28
42595.886,1091,340.92,9.65,7,28
42595.886,1505,339.55,8.26,6,28
42595.907,1218,343.7,11.64,5.3,28
42595.907,523,343.98,24.95,5.3,28
42595.918,1473,344.65,6.33,8.4,28
42595.939,2601,347.9,3.75,7.2,28
42595.97,972,351.12,14.25,5.3,28
42595.991,710,354.09,12.46,7,28
42595.991,624,353.65,16.52,7,28
42596.012,1095,356.17,12.71,7,28
42596.033,626,359.06,13.95,5.3,28
42596.033,713,358.87,15.7,8.8,28
42596.033,652,358.96,17.04,5.3,28
42596.033,660,358.69,20.14,5.3,28
42596.043,1529,359.85,5.73,8.4,28
42596.054,556,1.71,24.08,5.3,28
42596.054,1112,2.37,10.49,6,28
42596.076,571,3.74,19.45,5.3,28
42596.138,1175,11.79,11.38,5.3,28
42596.2,673,19.14,17.16,5.3,28
42596.2,644,19.39,21.08,5.3,28
42596.221,1355,20.64,8.92,8.4,28
42596.221,881,21.69,10.64,8.8,28
42596.274,1851,28.38,5.1,6,28
42598.466,590,293.46,24.83,7,29
42598.571,909,305.77,14.09,5.3,29
42598.593,1074,306.94,8.45,7.2,29
42598.633,1021,313.19,10.65,5.3,29
42598.633,718,315.4,13.21,5.3,29
42598.655,893,316.2,12.85,5.3,29
42598.676,1260,316.89,8.87,7.2,29
42598.697,1174,323.53,11.42,5.3,29
42598.76,657,328.35,19.64,5.3,29
42598.769,1890,329.49,5.92,6,29
42598.781,433,330.82,22.77,5.3,29
42598.802,682,333.62,13.08,5.3,29
42598.802,572,333.37,16.46,5.3,29
42598.812,2185,334.89,6.31,8.4,29
42598.822,853,336.19,13.21,5.3,29
42598.822,573,335.95,20.04,5.3,29
42598.843,1171,337.36,10.13,7.2,29
42598.867,1521,339.64,8.13,6,29
42598.867,482,341.01,19.65,5.3,29
42598.886,583,343.56,16.3,5.3,29
42598.886,535,343.57,24.55,5.3,29
42598.896,2162,344.72,4.49,6,29
42598.929,1153,347.99,7.88,6,29
42598.929,574,348.64,20.32,5.3,29
42598.969,1113,353.95,12.54,7,29
42598.969,721,353.99,13.59,5.3,29
42598.991,1269,355.12,10.29,6,29
42598.991,671,356.74,19.97,5.3,29
42599,1685,357.45,6.98,9.6,29
42599.011,739,359.05,15.28,7,29
42599.011,620,358.97,15.34,5.3,29
42599.032,1302,1.56,10.75,5.3,29
42599.032,694,1.63,14.41,7,29
42599.032,494,1.36,30.09,5.3,29
42599.042,1293,2.92,7.22,7.2,29
42599.054,750,3.96,12.92,5.3,29
42599.054,569,3.88,23.14,5.3,29
42599.075,1108,6.37,10.27,5.3,29
42599.116,1404,10.08,8.35,6,29
42599.116,1193,11.42,10.92,5.3,29
42599.158,903,19.25,12.12,7,29
42599.158,689,16.86,16.62,5.3,29
42599.179,889,19.48,14.16,5.3,29
42599.2,1384,20.17,8.65,8.4,29
42599.242,1460,25.23,8.58,6,29
42599.242,682,26.84,20.78,5.3,29
42601.382,569,285.97,20.72,5.3,30
42601.424,951,291.03,10.96,7,30
42601.486,1045,298.58,10.7,8.8,30
42601.571,1279,317.1,8.25,6,30
42601.591,1043,310.9,11.83,7,30
42601.612,1099,313.65,12.78,7,30
42601.633,1220,315.26,9.75,6,30
42601.655,1195,323.12,11.83,5.3,30
42601.738,913,328.53,15.24,5.3,30
42601.78,591,333.55,15.96,5.3,30
42601.812,1332,337.28,6.66,6,30
42601.822,1378,337.29,7.35,6,30
42601.822,1355,337.97,8.56,8.4,30
42601.822,930,339.22,13.37,5.3,30
42601.843,1250,341.17,10.55,5.3,30
42601.843,345,341.69,26.07,5.3,30
42601.863,660,344.22,20.09,5.3,30
42601.895,1904,347.77,5.41,6,30
42601.927,1354,351.81,10.46,7,30
42601.927,593,351.58,22.9,5.3,30
42601.948,741,354.09,13.18,5.3,30
42601.974,1076,356.63,11.31,7,30
42601.99,598,358.93,19.62,5.3,30
42602.011,780,1.94,13.72,7,30
42602.021,2659,2.98,5.06,7.2,30
42602.032,1320,2.62,10.09,6,30
42602.052,1114,10.36,10.17,6,30
42602.074,1210,9.52,11.09,5.3,30
42602.22,1483,25.35,8.69,6,30
42602.263,1430,30.87,8.73,6,30
42602.273,1504,33.28,7.19,8.4,30
42602.293,1625,36.16,5.65,6,30
42602.535,876,64.81,16.26,-7,30
42604.443,669,295.92,13.11,5.3,31
42604.485,410,301,24.95,7,31
42604.485,358,301.49,26.51,8.8,31
42604.569,1210,310.07,7.98,6,31
42604.611,1233,315.08,9.54,6,31
42604.611,923,316.22,12.54,5.3,31
42604.611,1294,321.4,11.13,7,31
42604.632,1211,323.07,11.47,5.3,31
42604.674,1642,322.18,8.31,6,31
42604.695,724,326.02,19.47,7,31
42604.716,845,329.05,13.35,5.3,31
42604.737,1206,331.08,10.62,7,31
42604.759,608,333.72,15.16,5.3,31
42604.759,600,333.63,17.54,5.3,31
42604.801,1393,337.38,7.5,6,31
42604.801,996,338.72,12.97,5.3,31
42604.831,2682,342.49,4.72,7.2,31
42604.842,674,343.97,19.69,5.3,31
42604.905,609,351.97,21.95,5.3,31
42604.926,1364,352.65,9.66,7.2,31
42604.926,719,354.44,16.23,5.3,31
42604.947,1076,356.72,12.09,5.3,31
42604.947,611,357.02,17.21,5.3,31
42605.01,829,4.58,15.39,5.3,31
42605.01,596,4.11,21.48,5.3,31
42605.031,504,7.1,22.62,5.3,31
42605.052,1226,9.13,10.9,5.3,31
42605.052,543,9.13,17.91,5.3,31
42605.052,564,9.14,21.54,5.3,31
42605.077,963,10.31,9.12,6,31
42605.114,1460,15.83,7.75,6,31
42605.156,1432,20.76,8.38,6,31
42605.156,892,21.78,11.56,5.3,31
42605.22,649,29.87,13.81,5.3,31
42605.22,672,29.39,20.47,5.3,31
42605.271,1662,35.62,7.12,6,31
42605.282,1595,35.62,8.63,8.4,31
42607.422,375,296.28,24.57,5.3,32
42607.547,1234,310.08,7.91,6,32
42607.547,1077,311.01,11.6,5.3,32
42607.547,1110,311.49,11.29,8.8,32
42607.547,844,311.26,13.68,7,32
42607.547,390,311.2,23.98,5.3,32
42607.589,1335,314.7,7.7,6,32
42607.589,939,316.04,11.71,5.3,32
42607.653,1320,322.97,9.99,6,32
42607.694,826,328.64,16.41,5.3,32
42607.737,1461,333.07,8.93,6,32
42607.737,623,334.18,13.95,5.3,32
42607.778,1412,337.64,7.61,6,32
42607.788,2231,340,6.06,8.4,32
42607.81,1745,342.69,7.63,6,32
42607.819,752,345.15,12.68,5.3,32
42607.841,605,348.69,19.4,5.3,32
42607.852,1233,347.89,7.84,6,32
42607.862,672,353.29,13.93,5.3,32
42607.862,622,351.06,21.85,5.3,32
42607.914,2225,355.57,5.41,6,32
42607.926,1371,355.93,8.6,6,32
42607.936,1151,357.78,8.07,6,32
42607.946,820,359.61,12.7,5.3,32
42607.977,1626,3.14,7.47,8.4,32
42607.987,845,4.43,16.13,5.3,32
42607.987,611,4.66,20.85,5.3,32
42608.029,575,9.22,21.36,5.3,32
42608.071,874,16.3,11.46,5.3,32
42608.092,960,16.78,13.1,5.3,32
42608.103,1652,17.96,5.48,6,32
42608.135,933,21.37,10.16,6,32
42608.135,1454,20.93,7.89,7.2,32
42608.156,1510,23.02,8.72,6,32
42608.156,985,24.37,13.01,5.3,32
42608.156,721,24.38,19.86,5.3,32
42608.156,505,24.63,25,7,32
42608.187,1483,28.79,7.18,6,32
42608.198,1011,28.08,9.59,7.2,32
42608.208,1542,30.6,6.2,6,32
42608.261,1695,36.38,7.64,6,32
42610.305,301,283.95,41.04,5.3,33
42610.441,909,301.6,15.45,5.3,33
42610.569,1323,316.59,10.73,7,33
42610.61,836,321.66,11.79,5.3,33
42610.693,668,331.48,16.31,7,33
42610.693,433,331.53,26.08,5.3,33
42610.715,462,333.85,25.09,5.3,33
42610.725,2160,341.1,5.9,6,33
42610.736,640,336.59,13.61,5.3,33
42610.756,964,338.93,13.64,5.3,33
42610.756,1173,338.93,9.78,7,33
42610.756,546,339.18,22.92,5.3,33
42610.767,2194,340.8,5.13,6,33
42610.778,1345,340.1,8.64,6,33
42610.798,1760,343.36,7.11,6,33
42610.84,921,349.07,12.39,5.3,33
42610.84,692,349.56,14.2,7,33
42610.862,1521,350.26,8.62,6,33
42610.862,1170,350.26,8.34,7.2,33
