时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
70618.081,985,311.47,0.58,2.4,2
70618.103,1783,313.99,3.76,-2.4,2
70618.123,1234,317.58,1.86,2.4,2
70618.165,1892,321.47,2.21,-1.2,2
70618.187,1112,323.97,1.96,1.2,2
70618.187,890,324.43,0.6,-2.4,2
70618.197,1822,324,9.68,8.4,2
70618.207,2032,326.51,2.73,1.2,2
70618.228,1183,329.4,1.77,1.2,2
70618.228,1802,329.74,3.21,-1.2,2
70618.249,492,332.27,-0.19,1.2,2
70618.27,1432,334.36,2.04,2.4,2
70618.291,273,336.66,-0.94,1.2,2
70618.291,1083,336.67,0.87,-1.2,2
70618.313,1480,339.23,0.81,2.4,2
70618.376,4722,347.25,1.31,-1.2,2
70618.396,2900,349.77,0.49,-2.4,2
70618.396,2914,349.4,0.85,1.2,2
70618.417,154,351.91,-1.22,1.2,2
70618.437,3729,354.44,-0.39,2.4,2
70618.458,2242,357.22,1.19,-2.4,2
70618.458,394,357.66,-0.2,-1.2,2
70618.481,101,359.48,-0.87,1.2,2
70618.501,324,1.98,-0.25,-1.2,2
70618.501,2253,2.73,4.19,1.2,2
70618.522,2335,4.94,4.9,1.2,2
70618.543,1242,7.44,0.09,-1.2,2
70618.563,4273,12.35,2.78,-3.6,2
70618.585,3761,12.14,4.46,18.1,2
70618.605,4319,14.78,2.96,2.4,2
70618.605,3050,14.69,5.31,10.8,2
70618.647,4205,20.46,3.07,-1.2,2
70618.689,541,28.53,1.4,1.2,2
70618.711,590,28.07,2.27,-1.2,2
70618.711,2965,27.35,2.49,-2.4,2
70618.731,3389,30.26,3.22,-1.2,2
70618.773,2283,35.3,2.35,1.2,2
70618.857,513,52.3,1.78,-1.2,2
70618.899,2493,50.4,1.9,-2.4,2
70618.932,2623,52.8,8.07,-3.6,2
70618.932,113,52.8,7.22,-1.2,2
70618.941,483,56.04,0.73,-2.4,2
70619.026,472,65.88,3.21,-1.2,2
70620.723,1032,271.43,5.03,2.4,3
70620.745,984,274.28,4.86,2.4,3
70620.787,780,278.99,3.07,1.2,3
70620.798,1042,279.02,7.5,1.2,3
70620.828,761,284.75,4.64,-2.4,3
70620.85,803,286.88,6.47,2.4,3
70620.891,1043,291.6,3.93,-2.4,3
70620.912,972,294.44,2.49,1.2,3
70620.912,1060,294.13,3.81,1.2,3
70620.975,1111,301.68,1.63,1.2,3
70620.975,1534,301.67,1.63,2.4,3
70620.975,159,301.7,4.68,4.8,3
70620.996,1589,304.8,2.01,1.2,3
70620.996,1620,304.56,1.91,-1.2,3
70621.059,1232,311.61,1.46,1.2,3
70621.059,973,312.32,0.24,-1.2,3
70621.059,1670,311.61,-0.17,1.2,3
70621.059,1782,312.33,3.54,-1.2,3
70621.081,980,314.83,0.65,1.2,3
70621.081,1724,314.85,2.66,-1.2,3
70621.081,1769,314.85,3.34,1.2,3
70621.101,1209,317.36,1.4,-1.2,3
70621.164,1151,324.23,2.28,1.2,3
70621.164,874,329.76,0.38,-1.2,3
70621.175,1846,324.18,9.37,8.4,3
70621.185,169,327.03,-0.48,-1.2,3
70621.206,913,329.88,1.1,1.2,3
70621.206,1830,329.89,3.3,-1.2,3
70621.227,1779,331.92,2.99,2.4,3
70621.227,1202,331.73,1.37,-1.2,3
70621.269,1742,337.53,1.65,-1.2,3
70621.269,1448,336.81,2.01,-2.4,3
70621.269,1773,337.21,1.97,-2.4,3
70621.332,2305,344.82,1.67,1.2,3
70621.332,4683,345.17,0.32,-1.2,3
70621.374,3843,349.53,0.69,1.2,3
70621.374,4686,349.8,1.01,2.4,3
70621.427,1344,356.19,14.53,8.8,3
70621.437,2252,357.38,1.64,-2.4,3
70621.437,2204,357.81,0.83,2.4,3
70621.452,2146,357.13,8.39,8.4,3
70621.458,2283,0.34,2.32,1.2,3
70621.458,2223,0.34,1.48,-2.4,3
70621.469,209,1,21.71,3.5,3
70621.481,2223,2.14,3.57,-1.2,3
70621.481,2275,2.86,4.11,1.2,3
70621.499,2290,5.06,4.53,-1.2,3
70621.499,2345,4.68,5.05,2.4,3
70621.512,1938,6.22,16.09,10.6,3
70621.542,4305,10.2,2.65,-1.2,3
70621.542,4340,10.12,2.79,-2.4,3
70621.562,4294,12.49,2.84,3.6,3
70621.615,1256,18.73,27.88,8.8,3
70621.625,512,19.87,1.27,2.4,3
70621.647,3270,22.42,3.64,-1.2,3
70621.678,2415,24.97,9.42,4.8,3
70621.688,250,27.46,0.06,1.2,3
70621.688,3372,27.98,3.97,3.6,3
70621.731,528,32.55,2.33,-1.2,3
70621.752,3492,35.09,4.58,-2.4,3
70621.814,3534,42.7,5.31,1.2,3
70621.856,501,48.47,0.08,-2.4,3
70621.898,483,52.84,0.76,2.4,3
70621.918,193,56.1,-0.05,-1.2,3
70621.918,522,55.38,2.06,-2.4,3
70621.918,2133,56.12,2.65,-1.2,3
70621.939,2132,57.94,2.58,1.2,3
70622.003,473,65.59,3.57,1.2,3
70623.702,984,272.26,4.63,2.4,4
70623.775,1014,279.15,7.23,2.4,4
70623.806,1050,284.44,6.3,2.4,4
70623.849,1038,290.61,3.53,1.2,4
70623.891,1069,294.61,4,-2.4,4
70623.922,2182,298.16,14.59,12.3,4
70623.995,1613,307.14,1.67,2.4,4
70623.995,1649,307.05,1.95,-2.4,4
70623.995,981,311.06,0.61,-2.4,4
70624.007,1572,308.1,21.27,7,4
70624.016,1239,309.95,0.87,1.2,4
70624.037,1203,312.11,1.39,-1.2,4
70624.037,3618,312.45,0.72,-2.4,4
70624.079,1712,316.78,2.39,2.4,4
70624.1,1202,319.98,0.9,2.4,4
70624.142,1150,325,2.47,1.2,4
70624.142,1430,325.01,2.24,1.2,4
70624.164,2040,327.14,2.82,1.2,4
70624.184,1784,330.02,3.18,-2.4,4
70624.205,1473,332.09,2.97,-1.2,4
70624.205,172,333.09,-0.69,-1.2,4
70624.205,492,332.58,-0.32,-1.2,4
70624.269,294,340.2,1.51,-4.8,4
70624.269,1433,339.5,0.76,1.2,4
70624.309,4690,345.3,0.38,-1.2,4
70624.309,2309,345.29,1.38,-1.2,4
70624.309,2300,345.31,1.61,1.2,4
70624.332,3843,347.83,1.09,-1.2,4
70624.332,3390,347.83,0.27,-1.2,4
70624.342,2260,348.5,12.33,10.6,4
70624.352,3811,350.36,0.91,-1.2,4
70624.414,2225,357.93,0.55,1.2,4
70624.457,2162,2.26,2.96,1.2,4
70624.457,2283,3.01,4.51,-1.2,4
70624.457,2244,2.29,3.84,2.4,4
70624.48,2314,5.54,5,-2.4,4
70624.541,4328,12.39,3.05,-1.2,4
70624.541,452,13.09,0.14,-2.4,4
70624.562,2439,15.26,4.12,-2.4,4
70624.595,2841,17.8,7.4,4.8,4
70624.667,4903,28.3,3.57,1.2,4
70624.708,524,32.65,1.73,-1.2,4
70624.708,3462,32.66,3.75,1.2,4
70624.722,3161,32.98,7.18,4.8,4
70624.751,2347,38.44,0.95,-1.2,4
70624.772,2383,40.26,1.16,-1.2,4
70624.794,2124,42.81,1.46,-2.4,4
70624.794,1692,43.92,0.4,1.2,4
70624.814,974,46.07,0.81,-2.4,4
70624.814,2123,45.37,1.18,1.2,4
70624.824,1641,47.02,27.85,7,4
70624.835,133,47.9,-0.86,1.2,4
70624.877,491,53,0.89,-1.2,4
70624.877,518,58.7,1.78,1.2,4
70624.918,193,58.58,0.4,-2.4,4
70624.918,2131,58.82,2.61,2.4,4
70624.963,480,63.9,2.51,2.4,4
70626.659,973,272.33,4.65,1.2,5
70626.659,1309,269.18,5.48,-1.2,5
70626.679,1033,274.66,5.39,-1.2,5
70626.742,769,283.68,4.37,1.2,5
70626.805,753,286.82,3.05,-1.2,5
70626.805,802,286.85,5.55,2.4,5
70626.847,1035,292.13,3.97,2.4,5
70626.869,924,294.78,1.21,-1.2,5
70626.889,1593,304.46,1.49,1.2,5
70626.889,1589,297.67,3.29,-1.2,5
70626.931,1115,302.35,1.43,2.4,5
70626.952,3683,305.24,1.59,-2.4,5
70626.973,1624,307.37,1.82,2.4,5
70627.077,1812,320.17,3.58,2.4,5
70627.077,1209,327.06,1.07,1.2,5
70627.119,1133,324.48,1.38,1.2,5
70627.141,2041,326.99,3.03,1.2,5
70627.152,1339,328.37,12.47,7,5
70627.162,1202,330.2,2.28,1.2,5
70627.162,1571,330.22,2.72,-1.2,5
70627.183,1141,332.05,1.56,-2.4,5
70627.204,1464,334.95,2.3,-2.4,5
70627.204,184,334.58,-0.2,1.2,5
70627.204,434,334.59,1.53,3.6,5
70627.246,1761,339.67,1.79,2.4,5
70627.288,4685,345.1,1.27,-1.2,5
70627.309,3842,347.29,0.65,-2.4,5
70627.309,3384,347.65,0.42,-2.4,5
70627.309,1389,347.68,4.57,6,5
70627.329,2901,349.8,0.63,-1.2,5
70627.351,151,352.85,-0.64,-2.4,5
70627.372,3749,354.84,-0.55,-1.2,5
70627.372,3972,354.84,-0.44,-2.4,5
70627.372,102,354.84,-0.21,-2.4,5
70627.393,2251,358.07,1.31,1.2,5
70627.435,2254,2.85,4.87,2.4,5
70627.435,2250,3.14,4.1,-1.2,5
70627.455,513,4.93,-0.95,1.2,5
70627.519,454,12.51,0.11,1.2,5
70627.519,3093,12.82,6.98,4.8,5
70627.529,3546,13.27,8.21,7.2,5
70627.539,4323,15.06,3.17,1.2,5
70627.539,103,15.08,6.45,2.4,5
70627.581,2110,20.82,2.21,7.2,5
70627.623,3355,25.95,4.12,-2.4,5
70627.645,251,27.7,0.32,2.4,5
70627.645,4884,28.43,3.5,1.2,5
70627.665,577,30.95,2.34,1.2,5
70627.687,523,33.14,1.92,2.4,5
70627.707,4932,35.33,4.56,1.2,5
70627.749,3530,41.12,5.09,-1.2,5
70627.771,2106,42.93,1.03,-1.2,5
70627.781,2093,43.27,9.57,3.6,5
70627.791,2123,45.46,1.28,1.2,5
70627.791,152,46.18,-0.23,1.2,5
70627.813,502,50.23,0.28,-1.2,5
70627.854,2502,53.55,2.33,1.2,5
70627.875,523,56.06,2.25,-1.2,5
70627.896,193,58.93,0.06,-2.4,5
70627.917,3265,60.79,5.54,-6,5
70629.637,1312,269.95,5.43,-1.2,6
70629.657,1003,272.14,5.14,-1.2,6
70629.732,1034,279.36,7.72,-2.4,6
70629.762,1033,284.4,5.79,-1.2,6
70629.867,1613,304.12,2.25,2.4,6
70629.867,1093,297.82,2.64,-2.4,6
70629.909,1589,302.1,3.18,-2.4,6
70629.909,1141,302.79,1.74,-2.4,6
70629.909,1110,302.4,1.62,2.4,6
70629.93,1139,304.62,1.07,1.2,6
70629.951,1611,307.08,1.69,2.4,6
70629.972,3651,309.51,1.07,2.4,6
70629.994,3150,312.43,2.11,8.4,6
70630.014,1252,315.23,2.73,1.2,6
70630.014,1764,314.54,3.54,-2.4,6
70630.057,1228,319.55,1.07,2.4,6
70630.088,1931,322.49,9.38,9.6,6
70630.098,1133,324.57,1.81,1.2,6
70630.109,1364,326.42,11.12,8.8,6
70630.141,1203,330.34,1.48,1.2,6
70630.161,1481,332.87,2.47,-1.2,6
70630.183,1794,335.41,2.83,-1.2,6
70630.183,1441,335.22,1.72,2.4,6
70630.203,1771,337.94,2.21,2.4,6
70630.203,524,337.24,-0.39,1.2,6
70630.203,2944,337.62,5.06,7.2,6
70630.224,283,340.51,-1.12,1.2,6
70630.266,2631,345.28,0.62,-2.4,6
70630.287,3820,348.13,0.83,-1.2,6
70630.287,152,348.12,-0.51,1.2,6
70630.298,2255,348.81,14.43,10.6,6
70630.308,2883,349.94,0.04,-1.2,6
70630.328,150,353.17,-1.2,-1.2,6
70630.349,2132,355.35,-0.01,2.4,6
70630.349,114,355.69,4.54,7.2,6
70630.371,150,357.5,-1.06,1.2,6
70630.371,2204,358.21,0.64,-1.2,6
70630.392,2194,0.73,1.34,2.4,6
70630.413,2300,2.86,4.53,-2.4,6
70630.433,2235,5.06,3.79,-1.2,6
70630.497,4284,12.83,2.89,1.2,6
70630.497,4293,13.12,2.77,-2.4,6
70630.518,2151,15.59,4.02,1.2,6
70630.58,111,23.09,2.22,-3.6,6
70630.601,3324,25.37,4.15,-3.6,6
70630.601,113,25.76,5.04,-4.8,6
70630.623,3312,27.89,2.65,1.2,6
70630.623,3360,28.62,3.74,2.4,6
70630.623,5120,27.91,4.01,-3.6,6
70630.645,593,30.43,2.4,-1.2,6
70630.654,2528,31.17,8.85,10.8,6
70630.685,3090,35.5,2.64,1.2,6
70630.685,4953,35.52,4.47,1.2,6
70630.727,413,41.28,0.49,-1.2,6
70630.727,920,40.96,0.04,1.2,6
70630.727,2107,41.05,1.27,1.2,6
70630.727,1684,40.91,0.46,-1.2,6
70630.727,2383,40.57,1.23,1.2,6
70630.748,1943,43.12,6.92,-3.6,6
70630.77,2150,45.64,1.2,1.2,6
70630.77,975,46.04,0.59,-2.4,6
70630.791,103,48.17,-1.21,1.2,6
70630.811,508,50.73,0.87,2.4,6
70630.853,2133,56.52,2.74,-1.2,6
70630.853,4555,55.81,3.5,-2.4,6
70630.874,1130,59.08,2.19,-1.2,6
70630.916,1330,63.44,-0.5,1.2,6
70632.689,1048,281.63,6.99,-1.2,7
70632.804,220,292.04,1.35,1.2,7
70632.804,1063,292.45,3.92,-2.4,7
70632.845,284,297.46,1.12,-1.2,7
70632.888,1544,302.83,2.15,2.4,7
70632.888,1112,302.13,1.8,-1.2,7
70632.888,1625,302.15,4.06,-2.4,7
70632.908,1630,305.92,2.07,1.2,7
70632.929,1671,307.17,1.83,-1.2,7
70632.95,1239,310.25,1.02,1.2,7
70632.971,979,312.76,0.42,-1.2,7
70632.971,1218,313.05,1.84,-1.2,7
70632.971,1783,312.79,3.83,-1.2,7
70632.993,1721,315.29,2.67,-1.2,7
70632.993,981,314.6,0.67,1.2,7
70633.035,1230,320.31,1.24,2.4,7
70633.035,1790,320.32,4.11,2.4,7
70633.035,1828,319.62,4.06,-2.4,7
70633.057,1151,322.12,2.14,1.2,7
70633.066,1939,323.51,26.23,10.6,7
70633.066,1959,322.14,9.12,9.6,7
70633.076,1113,324.82,1.44,1.2,7
70633.097,1191,327.47,2.1,-2.4,7
70633.097,1632,327.14,2.4,1.2,7
70633.265,3840,347.47,0.91,2.4,7
70633.265,499,348.18,-0.6,-1.2,7
70633.317,2248,352.57,7.98,8.4,7
70633.327,3724,355.06,-0.52,-1.2,7
70633.369,2185,0.81,1.16,2.4,7
70633.39,2266,2.76,4.36,-1.2,7
70633.39,2253,4.76,4.02,1.2,7
70633.423,1206,7.05,21.5,8.8,7
70633.432,364,8.07,-0.81,-2.4,7
70633.454,1294,10.21,0.13,-1.2,7
70633.475,4286,13.48,2.83,-2.4,7
70633.538,2093,21.07,1.97,1.2,7
70633.559,2811,22.87,1.9,2.4,7
70633.579,3335,25.94,4.09,1.2,7
70633.621,600,30.85,2,2.4,7
70633.685,2903,38.82,3.66,-1.2,7
70633.706,2383,40.63,0.8,1.2,7
70633.706,1692,41.34,0.49,-1.2,7
70633.748,533,47.84,0.54,-1.2,7
70633.748,965,46.43,0.74,-1.2,7
70633.789,534,51.55,2.34,-2.4,7
70633.809,500,53.69,1.41,2.4,7
70633.831,2132,56.65,2.78,-1.2,7
70633.851,2131,58.86,2.38,2.4,7
70633.873,520,61.03,2.23,-2.4,7
70633.893,2634,64.32,6.5,-6,7
70633.926,120,66.56,7.63,-1.2,7
70635.614,1322,271.98,5.01,2.4,8
70635.667,1048,277.77,7.47,-1.2,8
70635.687,1044,280.48,7.35,1.2,8
70635.698,783,282.1,5.09,-1.2,8
70635.719,762,285.33,4.21,-1.2,8
70635.74,802,287.17,5.39,1.2,8
70635.74,1034,287.17,5.15,-1.2,8
70635.803,294,294.72,0.07,1.2,8
70635.844,1132,299.77,2.25,1.2,8
70635.866,1553,302.99,2.59,2.4,8
70635.887,1595,305.1,2.78,2.4,8
70635.887,3690,305.48,1.28,-2.4,8
70635.908,3693,307.87,1.35,2.4,8
70635.949,1222,313.55,1.91,-1.2,8
70635.949,1762,312.9,4.04,-1.2,8
70635.971,1802,316.21,4.26,-2.4,8
70635.991,1218,317.89,1.35,1.2,8
70635.991,1742,317.56,2.43,1.2,8
70636.055,872,325.43,0.21,-1.2,8
70636.055,1142,325.1,1.76,1.2,8
70636.055,2043,324.75,3.15,-1.2,8
70636.075,893,327.95,0.43,-1.2,8
70636.075,1191,327.65,0.78,-2.4,8
70636.086,1448,327.64,9.48,7.2,8
70636.096,4089,330.2,3.4,8.4,8
70636.117,1462,334.76,2.14,-1.2,8
70636.139,1808,335.61,2.75,1.2,8
70636.139,523,335.59,-0.45,-1.2,8
70636.139,249,335.59,0.12,3.6,8
70636.139,1433,334.89,3.65,1.2,8
70636.159,1752,338.13,2.35,2.4,8
70636.159,1481,339.75,0.84,1.2,8
70636.169,2604,337.82,8.37,9.6,8
70636.18,284,340.35,-0.15,2.4,8
70636.243,3841,348.31,0.6,1.2,8
70636.263,3086,350.14,5.86,9.6,8
70636.306,4415,355.16,-0.69,1.2,8
70636.306,3970,355.16,-0.68,-2.4,8
70636.327,2193,358.38,0.65,2.4,8
70636.347,2216,0.2,2.4,-1.2,8
70636.369,2174,2.7,3.14,-1.2,8
70636.369,324,3.01,-0.28,2.4,8
70636.41,359,8.49,-0.69,-2.4,8
70636.432,4304,14.17,2.89,2.4,8
70636.453,452,12.82,0.07,-1.2,8
70636.453,4336,13.21,2.88,2.4,8
70636.516,2093,20.41,3.16,1.2,8
70636.536,3273,23.43,3.75,2.4,8
70636.558,564,25.9,1.6,2.4,8
70636.558,4891,26.21,3.69,2.4,8
70636.578,3363,28.71,3.31,-2.4,8
70636.599,3372,30.54,3,2.4,8
70636.663,321,38.15,0.72,-1.2,8
70636.683,2124,41.02,1.18,-1.2,8
70636.683,1690,40.69,0.07,-2.4,8
70636.704,2192,43.23,1.48,-1.2,8
70636.704,913,43.23,-0.19,-2.4,8
70636.704,104,43.25,1.23,2.4,8
70636.726,964,46.39,0.6,1.2,8
70636.726,2754,46.53,4.13,-1.2,8
70636.767,533,51.61,1.94,-1.2,8
70636.788,2541,53.44,3.59,-2.4,8
70636.809,2134,56.69,3.05,-1.2,8
70636.851,521,61.09,2.21,-2.4,8
70636.903,121,66.94,7.28,1.2,8
70638.592,1004,272.82,4.88,-1.2,9
70638.633,755,277.83,2.55,-2.4,9
70638.645,1001,277.52,6.75,2.4,9
70638.676,810,284.97,5.24,-1.2,9
70638.687,1050,282.55,7.1,-2.4,9
70638.718,1019,287.95,4,-1.2,9
70638.718,802,287.26,5.35,1.2,9
70638.739,1019,290.42,3.36,1.2,9
70638.76,1062,292.31,4.11,-1.2,9
70638.802,285,298.05,1.39,-1.2,9
70638.822,1612,299.88,4.06,1.2,9
70638.822,1573,300.59,3.06,-2.4,9
70638.822,1080,300.59,2.15,2.4,9
70638.843,1582,302.87,2.9,2.4,9
70638.885,1615,307.81,0.65,-2.4,9
70638.927,1233,312.3,1.5,1.2,9
70638.948,1803,315.31,3.92,2.4,9
70638.969,1765,317.65,3.83,1.2,9
70638.991,1344,319.93,4.86,2.4,9
70639.012,1910,322.34,2.57,-1.2,9
70639.012,1439,322.69,1.72,2.4,9
70639.075,1803,330.64,3.39,-1.2,9
70639.117,179,334.97,-0.86,-1.2,9
70639.127,1791,336.38,28.09,10.6,9
70639.137,1481,338.25,2.24,2.4,9
70639.137,543,337.51,-0.49,1.2,9
70639.159,289,340.48,-0.83,1.2,9
70639.2,1933,345.2,1.65,2.4,9
70639.21,1930,346.56,12.53,8.8,9
70639.221,2453,348.13,-0.28,-1.2,9
70639.221,3843,347.74,0.66,-2.4,9
70639.242,2894,350.25,-0.02,-1.2,9
70639.274,2331,353.52,9.3,10.8,9
70639.283,3181,355.79,1.88,2.4,9
70639.294,1640,356.67,12.52,8.8,9
70639.305,101,358.52,-0.63,1.2,9
70639.305,152,357.82,-1.13,2.4,9
70639.305,2243,358.54,1.61,-2.4,9
70639.326,2234,2.5,3.73,-2.4,9
70639.348,2262,3.58,3.9,2.4,9
70639.389,320,8.63,-0.45,2.4,9
70639.411,4309,10.9,2.81,-2.4,9
70639.43,3725,13.29,3.78,-4.8,9
70639.462,1449,17.09,11.12,3.5,9
70639.483,1991,19.43,13.23,3.5,9
70639.536,3370,26.08,4.06,1.2,9
70639.557,3294,28.86,2.87,1.2,9
70639.577,3365,31.39,3.07,-2.4,9
70639.663,444,41.21,1.07,-2.4,9
70639.672,2011,42.19,11.58,-3.5,9
70639.682,2121,43.36,1.14,-1.2,9
70639.682,442,43.36,1.49,1.2,9
70639.703,533,50.42,1.55,-1.2,9
70639.703,2111,45.89,1.12,1.2,9
70639.703,981,46.61,0.76,-2.4,9
70639.789,187,56.81,-0.08,-1.2,9
70639.789,2532,56.11,2.82,2.4,9
70639.808,198,59.01,0.46,1.2,9
70639.829,520,61.21,1.89,1.2,9
70639.85,253,63.75,-0.8,2.4,9
70641.569,1020,273.03,5.04,-1.2,10
70641.624,1026,278.09,7.28,-2.4,10
70641.654,809,286.39,5.54,2.4,10
70641.717,774,289.93,2.88,1.2,10
70641.717,1023,292.19,3.55,2.4,10
70641.737,1081,293.18,4.36,-2.4,10
70641.779,1092,298.77,2.27,-2.4,10
70641.8,1554,300,3.31,3.6,10
70641.822,1122,302.52,1.32,1.2,10
70641.842,3691,307.32,1.28,-1.2,10
70641.864,1644,307.74,1,-2.4,10
70641.884,971,310.62,0.08,2.4,10
70641.905,1241,314.23,2.26,2.4,10
70641.905,3661,313.15,1.26,-1.2,10
70641.927,1722,315.28,2.38,-2.4,10
70641.948,1194,317.45,0.6,-1.2,10
70641.968,1343,320.37,4.91,4.8,10
70641.99,1094,322.46,1.76,1.2,10
70641.99,1135,322.69,2.46,-2.4,10
70642.01,2040,324.97,3.2,1.2,10
70642.052,1226,330.09,2.16,-1.2,10
70642.074,903,332.96,-0.11,2.4,10
70642.074,1460,332.69,2.34,2.4,10
70642.116,1150,337.67,1.31,2.4,10
70642.116,1492,338.1,2.1,2.4,10
70642.125,2020,339.08,11.35,8.8,10
70642.136,1468,340.56,0.5,2.4,10
70642.219,3781,351.08,0.45,1.2,10
70642.241,2123,353.61,-0.36,-1.2,10
70642.261,4412,355.43,-0.45,1.2,10
70642.283,2223,358.23,1.28,-2.4,10
70642.283,2277,358.66,0.74,2.4,10
70642.325,2279,3.7,4.81,-1.2,10
70642.325,2243,3.21,3.81,1.2,10
70642.335,1676,3.34,9.31,6,10
70642.366,362,8.75,-0.74,-2.4,10
70642.388,4291,11.21,2.82,-2.4,10
70642.408,4351,13.11,2.93,-2.4,10
70642.408,442,13.1,-0.18,-1.2,10
70642.451,2053,18.54,3.66,2.4,10
70642.471,2126,20.7,2.36,2.4,10
70642.471,2093,20.71,2.68,1.2,10
70642.513,251,26.48,0.25,-1.2,10
70642.513,4899,26.51,3.81,-2.4,10
70642.513,5142,26.51,3.83,-1.2,10
70642.555,3383,30.84,3.16,2.4,10
70642.621,2914,38.45,3.74,1.2,10
70642.629,2146,38.71,8.82,4.8,10
70642.639,2124,41.66,1.1,-1.2,10
70642.66,429,43.48,1.73,1.2,10
70642.681,102,46.74,1.45,1.2,10
70642.681,530,46.65,0.63,-1.2,10
70642.681,999,46.75,0.88,-1.2,10
70642.703,112,48.99,0.33,-2.4,10
70642.703,2544,48.58,2.79,-1.2,10
70642.744,481,53.65,0.4,1.2,10
70642.744,2520,53.65,2.76,1.2,10
70642.744,2579,53.68,3.74,-1.2,10
70642.807,519,61.32,1.98,1.2,10
70642.807,2711,61.34,7.15,2.4,10
70642.828,252,64.59,-0.53,2.4,10
70644.506,1012,268.06,4.82,-1.2,11
70644.58,1986,276.55,20.97,1.7,11
70644.6,1041,278.19,7.4,1.2,11
70644.6,1005,278.19,6.92,-2.4,11
70644.674,809,288.04,5.48,2.4,11
70644.737,991,295.25,2.64,2.4,11
70644.758,1101,298.34,2.57,-2.4,11
70644.758,284,298.34,1.08,-1.2,11
70644.821,1606,305.32,1.86,1.2,11
70644.821,3693,305.68,1.49,-1.2,11
70644.821,1661,305.19,1.7,-2.4,11
70644.863,1689,310.06,0.62,1.2,11
70644.863,3642,310.08,0.94,-1.2,11
70644.884,982,313.29,0.29,-1.2,11
70644.884,1241,313.21,1.69,-1.2,11
70644.884,1202,313.3,0.93,1.2,11
70644.904,1764,316.44,3.84,-1.2,11
70644.967,1122,322.63,1.85,-1.2,11
70644.967,1355,322.65,5.16,3.6,11
70644.989,1146,325.16,1.25,-6,11
70645.01,882,328.18,0.49,-2.4,11
70645.01,1211,328.79,1.61,-1.2,11
