时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
70614.746,1004,270.37,5,1.2,1
70614.768,1311,271.15,5.31,1.2,1
70614.789,1043,274.4,5.8,-2.4,1
70614.842,1030,279.45,7.33,1.2,1
70614.893,763,286.99,3.1,-1.2,1
70614.893,811,286.28,5.29,-1.2,1
70614.935,223,291.33,2,-1.2,1
70615.02,1114,302.13,2.13,2.4,1
70615.041,1604,304.64,2.26,-1.2,1
70615.041,1644,303.94,1.2,-2.4,1
70615.082,3701,308.83,1.43,1.2,1
70615.103,3643,311.4,0.88,-1.2,1
70615.103,1233,314.42,1.62,1.2,1
70615.103,1673,311.34,0.05,1.2,1
70615.208,892,326.54,0.69,-1.2,1
70615.229,1680,327.15,2.67,2.4,1
70615.229,2049,326.45,3.08,1.2,1
70615.249,1227,329.69,2.18,-1.2,1
70615.249,1812,332.03,2.96,-1.2,1
70615.271,900,332.2,-0.53,1.2,1
70615.271,1213,331.51,1.93,2.4,1
70615.292,1441,334.06,1.77,-1.2,1
70615.292,1490,334.78,2.82,2.4,1
70615.313,280,336.6,-1.04,-1.2,1
70615.324,2547,338.03,26.46,10.6,1
70615.355,1453,341.71,0.45,2.4,1
70615.376,2903,344.56,1.36,-2.4,1
70615.438,1855,351.83,-0.27,2.4,1
70615.481,1592,357.62,5.08,4.8,1
70615.491,1980,358.75,11.05,7,1
70615.502,631,359.77,-0.71,1.2,1
70615.502,2203,0.13,0.97,1.2,1
70615.522,2212,1.93,3.25,1.2,1
70615.522,2232,1.94,4.03,-2.4,1
70615.575,2376,7.31,9.77,-3.6,1
70615.588,4301,9.92,3,-1.2,1
70615.607,4284,12.38,2.82,2.4,1
70615.627,4323,14.63,3.09,1.2,1
70615.627,1480,14.62,-0.08,1.2,1
70615.627,2440,15.01,3.98,-2.4,1
70615.649,2181,17.17,4.22,1.2,1
70615.67,520,19.7,1.09,-1.2,1
70615.691,3284,22.96,3.72,1.2,1
70615.712,3332,25.06,4.22,3.6,1
70615.795,3506,34.9,4.51,3.6,1
70615.837,2369,39.94,1.11,1.2,1
70615.848,2406,41.54,15.22,8.8,1
70615.858,1011,42.8,0.6,-8.4,1
70615.88,134,45.74,2.88,2.4,1
70615.921,2383,50.12,1.65,1.2,1
70615.942,482,52.67,0.23,-2.4,1
70615.963,193,55.94,-0.32,-1.2,1
70615.983,194,57.76,0.44,2.4,1
70615.983,2141,57.78,2.6,1.2,1
70616.046,470,65.42,2.57,2.4,1
70617.746,1314,271.29,5.41,1.2,2
70617.767,1034,273.81,5.37,1.2,2
70617.798,1042,277.05,6.82,-1.2,2
70617.809,771,278.85,3.76,-2.4,2
70617.819,1013,279.24,7.31,-2.4,2
70617.829,789,281.73,5.68,-1.2,2
70617.851,1053,283.9,6.31,1.2,2
70617.904,810,288.96,6.85,1.2,2
70617.913,299,292.16,2.14,1.2,2
70617.934,1083,294.01,4.01,-2.4,2
70617.955,144,296.53,5.85,3.6,2
70617.977,289,299.75,0.7,-1.2,2
70617.997,1085,302.17,1.55,2.4,2
70618.04,1143,306.55,0.5,1.2,2
70618.081,972,311.47,-0.06,-1.2,2
70618.081,1672,311.47,0.09,1.2,2
70618.081,3612,311.8,0.7,-2.4,2
